site,block,paddock,genus_species,species_code,leaf_thickness_(mm),wet_leaf_weight_g,date,personelle,season,comments
TB,2,MG,Lepidium_densiflorum,LEDE,0.049,0.0104,5/28/2022,KB_KVL,early,
TB,3,HG,Artemisia_tridentata,ARTR,0.028,0.0104,6/30/2022,KB_AY,late,
FK,1,HG,Bouteloua_gracilis,BOGR,0.026,0.0106,7/2/2022,KB_MF,late,
TB,1,HG,Tetraneuris_acaulis,TEAC,0.056,0.0107,5/28/2022,KB_KVL,early,
TB,1,MG,Bouteloua_ gracilis,BOGR,0.027,0.0107,6/30/2022,KB_AY,late,
FK,2,HG,Artemisia_dracunculus,ARDR,0.04,0.0107,7/2/2022,KB_MF,late,
FK,3,LG,Bouteloua_dactyloides,BODA,0.023,0.0107,7/2/2022,KB_MF,late,
TB,1,MG,Erigeron_pumilus,ERPU,0.034,0.0108,5/28/2022,KB_KVL,early,
TB,2,MG,Oenothera_ siffrtescuns,OESU,0.026,0.0108,5/28/2022,KB_KVL,early,
FK,1,MG,Bouteloua_dactyloides,BODA,0.016,0.0109,7/2/2022,KB_MF,late,
FK,1,HG,Carex_filifolia,CAFI,0.055,0.011,6/1/2022,KB_KVL,early,
FK,2,LG,Bouteloua_dactyloides,BODA,0.027,0.011,7/2/2022,KB_MF,late,
TB,2,HG,Antennaria_parvifolia,ANPA,0.046,0.0112,5/28/2022,KB_KVL,early,
FK,2,LG,Bromus_arvensis,BRAR,0.033,0.0113,6/1/2022,KB_KVL,early,
FK,3,HG,Plantago_patagonica,PLPA,0.041,0.0113,6/2/2022,KB_KVL,early,
TB,1,MG,Tetraneuris_acaulis,TEAC,0.044,0.0114,5/28/2022,KB_KVL,early,
TB,1,MG,Poa_secunda,POSE,0.035,0.0115,5/28/2022,KB_KVL,early,
FK,2,MG,Poa_secunda,POSE,0.048,0.0115,6/1/2022,KB_KVL,early,
TB,1,HG,Lomatium_ foeniculaceum,LOFO,0.032,0.0116,5/28/2022,KB_KVL,early,
TB,2,HG,Hedeoma_hispida,HEHI,0.056,0.0116,5/28/2022,KB_KVL,early,
FK,3,LG,Bouteloua_gracilis,BOGR,0.023,0.0118,7/2/2022,KB_MF,late,
TB,2,HG,Carex_filifolia,CAFI,0.052,0.0119,5/28/2022,KB_KVL,early,
TB,2,LG,Draba_reptans,DRRE,0.062,0.012,5/28/2022,KB_KVL,early,
FK,3,LG,Poa_secunda,POSE,0.034,0.012,6/1/2022,KB_KVL,early,
TB,1,HG,Hesperostipa_comata,HECO,0.02,0.0123,5/28/2022,KB_KVL,early,
TB,3,MG,Hedeoma_hispida,HEHI,0.049,0.0123,5/29/2022,KB_KVL,early,
FK,3,LG,Lydogesmia_juncea,LYJU,0.059,0.0123,6/1/2022,KB_KVL,early,
TB,3,MG,Artemisia_tridentata,ARTR,0.045,0.0123,6/30/2022,KB_AY,late,
TB,3,LG,Lithospermum_incisum,LIIN,0.03,0.0124,5/29/2022,KB_KVL,early,
FK,3,LG,Artemisia_dracunculus,ARDR,0.039,0.0126,7/2/2022,KB_MF,late,
TB,3,MG,Bouteloua_ gracilis,BOGR,0.019,0.0127,6/30/2022,KB_AY,late,
FK,2,MG,Conyza_canadensis,COCA,0.048,0.0128,6/1/2022,KB_KVL,early,
TB,3,LG,Bromus_arvensis,BRAR,0.022,0.0129,5/29/2022,KB_KVL,early,
TB,2,HG,Draba_reptans,DRRE,0.073,0.013,5/28/2022,KB_KVL,early,
FK,3,MG,Plantago_patagonica,PLPA,0.048,0.013,6/1/2022,KB_KVL,early,
FK,1,MG,Bouteloua_gracilis,BOGR,0.024,0.013,7/2/2022,KB_MF,late,
FK,1,LG,Carex_duriuscula,CADU,0.038,0.0131,5/30/2022,KB_KVL,early,
TB,3,MG,Erigeron_pumilus,ERPU,0.045,0.0132,5/29/2022,KB_KVL,early,
FK,2,MG,Lithospermum_incisum,LIIN,0.046,0.0132,6/1/2022,KB_KVL,early,
TB,3,LG,Antennaria_parvifolia,ANPA,0.033,0.0133,5/29/2022,KB_KVL,early,
TB,3,MG,Poa_secunda,POSE,0.034,0.0133,5/29/2022,KB_KVL,early,
TB,2,MG,Descurainia_pinnata,DEPI,0.045,0.0135,5/28/2022,KB_KVL,early,
FK,2,LG,Carex_duriuscula,CADU,0.056,0.0136,6/1/2022,KB_KVL,early,
FK,2,HG,Bouteloua_gracilis,BOGR,0.022,0.0136,7/2/2022,KB_MF,late,
TB,2,HG,Plantago_patagonica,PLPA,0.043,0.0137,5/29/2022,KB_KVL,early,
TB,3,HG,Erigeron_pumilus,ERPU,0.046,0.0139,5/29/2022,KB_KVL,early,
FK,3,LG,Bromus_arvensis,BRAR,0.058,0.014,6/1/2022,KB_KVL,early,
TB,1,MG,Carex_filifolia,CAFI,0.051,0.0141,5/28/2022,KB_KVL,early,
FK,1,HG,Carex_duriuscula,CADU,0.043,0.0141,5/30/2022,KB_KVL,early,
FK,2,LG,Conyza_canadensis,COCA,0.042,0.0141,6/1/2022,KB_KVL,early,
TB,3,HG,Plantago_patagonica,PLPA,0.035,0.0142,5/29/2022,KB_KVL,early,
FK,3,HG,Bouteloua_gracilis,BOGR,0.022,0.0143,7/2/2022,KB_MF,late,
FK,1,HG,Hesperostipa_comata,HECO,0.025,0.0144,6/1/2022,KB_KVL,early,
FK,3,HG,Lydogesmia_juncea,LYJU,0.044,0.0144,6/2/2022,KB_KVL,early,
TB,3,MG,Carex_duriuscula,CADU,0.054,0.0146,5/29/2022,KB_KVL,early,
FK,3,LG,Carex_duriuscula,CADU,0.033,0.0146,6/1/2022,KB_KVL,early,
TB,3,LG,Carex_duriuscula,CADU,0.034,0.0147,5/29/2022,KB_KVL,early,
TB,3,LG,Artemisia_tridentata,ARTR,0.047,0.0149,6/30/2022,KB_AY,late,
TB,1,LG,Carex_duriuscula,CADU,0.026,0.015,5/28/2022,KB_KVL,early,
FK,1,LG,Plantago_patagonica,PLPA,0.038,0.0151,5/30/2022,KB_KVL,early,
FK,2,MG,Bromus_tectorum,BRTE,0.026,0.0152,6/1/2022,KB_KVL,early,
TB,2,HG,Erigeron_pumilus,ERPU,0.038,0.0153,5/28/2022,KB_KVL,early,
TB,3,HG,Erigeron_canus,ERCA,0.036,0.0157,5/29/2022,KB_KVL,early,
FK,2,HG,Bouteloua_dactyloides,BODA,0.027,0.0157,7/2/2022,KB_MF,late,
FK,3,HG,Bouteloua_dactyloides,BODA,0.022,0.0158,7/2/2022,KB_MF,late,labeled B3 HG BOGR on scan (bottom right)
TB,2,LG,Koeleria_macrantha,KOMA,0.04,0.016,5/28/2022,KB_KVL,early,
TB,2,LG,Plantago_patagonica,PLPA,0.038,0.016,5/28/2022,KB_KVL,early,
TB,2,MG,Carex_duriuscula,CADU,0.033,0.016,5/28/2022,KB_KVL,early,
TB,1,LG,Antennaria_parvifolia,ANPA,0.047,0.0161,5/28/2022,KB_KVL,early,
FK,1,HG,Conyza_canadensis,COCA,0.041,0.0161,6/1/2022,KB_KVL,early,
FK,3,HG,Koeleria_macrantha,KOMA,0.035,0.0162,6/2/2022,KB_KVL,early,
FK,3,MG,Hesperostipa_comata,HECO,0.035,0.0163,6/1/2022,KB_KVL,early,
TB,2,LG,Erigeron_canus,ERCA,0.03,0.0164,5/28/2022,KB_KVL,early,
TB,1,LG,Carex_filifolia,CAFI,0.042,0.0165,5/28/2022,KB_KVL,early,
TB,1,LG,Koeleria_macrantha,KOMA,0.036,0.0165,5/28/2022,KB_KVL,early,
TB,2,MG,Antennaria_parvifolia,ANPA,0.024,0.0166,5/28/2022,KB_KVL,early,
TB,2,LG,Carex_filifolia,CAFI,0.044,0.0167,5/28/2022,KB_KVL,early,
FK,1,LG,Bouteloua_gracilis,BOGR,0.031,0.0167,7/2/2022,KB_MF,late,
TB,1,HG,Bromus_arvensis,BRAR,0.027,0.0168,5/28/2022,KB_KVL,early,
TB,1,LG,Bromus_arvensis,BRAR,0.027,0.0169,5/28/2022,KB_KVL,early,
TB,2,LG,Taraxacum_officinale,TAOF,0.03,0.0169,5/28/2022,KB_KVL,early,
TB,3,MG,Antennaria_parvifolia,ANPA,0.034,0.0171,5/29/2022,KB_KVL,early,
TB,2,LG,Bromus_tectorum,BRTE,0.028,0.0172,5/28/2022,KB_KVL,early,
TB,3,LG,Erigeron_canus,ERCA,0.044,0.0172,5/29/2022,KB_KVL,early,
TB,3,HG,Antennaria_parvifolia,ANPA,0.054,0.0172,5/29/2022,KB_KVL,early,
TB,3,HG,Hesperostipa_comata,HECO,0.028,0.0172,5/29/2022,KB_KVL,early,
FK,3,MG,Carex_filifolia,CAFI,0.04,0.0173,6/1/2022,KB_KVL,early,
TB,1,MG,Artemisia_tridentata,ARTR,0.042,0.0173,6/30/2022,KB_AY,late,
TB,3,HG,Koeleria_macrantha,KOMA,0.029,0.0175,5/29/2022,KB_KVL,early,
TB,1,HG,Descurainia_pinnata,DEPI,0.041,0.0177,5/28/2022,KB_KVL,early,
FK,3,HG,Carex_filifolia,CAFI,0.043,0.0177,6/1/2022,KB_KVL,early,
FK,3,MG,Conyza_canadensis,COCA,0.043,0.018,6/1/2022,KB_KVL,early,
TB,1,MG,Lithospermum_incisum,LIIN,0.045,0.0181,5/28/2022,KB_KVL,early,
TB,1,HG,Erigeron_pumilus,ERPU,0.036,0.0183,5/28/2022,KB_KVL,early,
FK,1,LG,Lydogesmia_juncea,LYJU,0.053,0.0184,5/30/2022,KB_KVL,early,
FK,1,LG,Conyza_canadensis,COCA,0.048,0.0185,5/30/2022,KB_KVL,early,
TB,2,HG,Aristida_purpurea,ARPU,0.019,0.0185,6/30/2022,KB_AY,late,
TB,2,MG,Artemisia_tridentata,ARTR,0.049,0.0186,6/30/2022,KB_AY,late,
FK,3,HG,Conyza_canadensis,COCA,0.037,0.0188,6/2/2022,KB_KVL,early,
TB,2,LG,Tetraneuris_acaulis,TEAC,0.062,0.019,5/28/2022,KB_KVL,early,
FK,3,LG,Artemisia_cana,ARCA,0.036,0.0191,7/2/2022,KB_MF,late,
TB,1,MG,Musineon_divaricatum,MUDI,0.057,0.0192,5/28/2022,KB_KVL,early,
TB,1,HG,Erigeron_canus,ERCA,0.039,0.0193,5/28/2022,KB_KVL,early,
FK,1,HG,Lithospermum_incisum,LIIN,0.035,0.0194,6/1/2022,KB_KVL,early,
TB,1,LG,Erigeron_canus,ERCA,0.039,0.0195,5/28/2022,KB_KVL,early,
TB,2,LG,Poa_secunda,POSE,0.029,0.0195,5/28/2022,KB_KVL,early,
TB,2,LG,Hesperostipa_comata,HECO,0.026,0.0201,5/28/2022,KB_KVL,early,
TB,2,MG,Bromus_arvensis,BRAR,0.03,0.0202,5/28/2022,KB_KVL,early,
FK,2,MG,Carex_filifolia,CAFI,0.051,0.0202,6/1/2022,KB_KVL,early,
FK,2,MG,Lydogesmia_juncea,LYJU,0.055,0.0202,6/1/2022,KB_KVL,early,
FK,3,HG,Artemisia_cana,ARCA,0.053,0.0202,7/2/2022,KB_MF,late,
FK,3,HG,Carex_duriuscula,CADU,0.029,0.0203,6/1/2022,KB_KVL,early,
TB,2,LG,Erigeron_pumilus,ERPU,0.045,0.0204,5/28/2022,KB_KVL,early,
TB,2,HG,Bromus_tectorum,BRTE,0.036,0.0206,5/28/2022,KB_KVL,early,
TB,1,MG,Erigeron_canus,ERCA,0.034,0.0211,5/28/2022,KB_KVL,early,
TB,3,MG,Erigeron_canus,ERCA,0.04,0.0211,5/29/2022,KB_KVL,early,
FK,3,LG,Conyza_canadensis,COCA,0.045,0.0212,6/1/2022,KB_KVL,early,
TB,2,LG,Musineon_divaricatum,MUDI,0.039,0.0213,5/28/2022,KB_KVL,early,
TB,2,MG,Sphaeralcea_ coccinea,SPCO,0.07,0.0213,5/28/2022,KB_KVL,early,
FK,2,MG,Carex_duriuscula,CADU,0.041,0.0213,6/1/2022,KB_KVL,early,
FK,1,MG,Poa_secunda,POSE,0.04,0.0214,5/30/2022,KB_KVL,early,
FK,2,HG,Conyza_canadensis,COCA,0.046,0.0214,6/1/2022,KB_KVL,early,
TB,1,LG,Plantago_patagonica,PLPA,0.039,0.0219,5/28/2022,KB_KVL,early,
TB,2,LG,Picradeniopsis_ oppositifolia,PIOP,0.056,0.022,5/28/2022,KB_KVL,early,
TB,2,LG,Lithospermum_incisum,LIIN,0.062,0.0222,5/28/2022,KB_KVL,early,
TB,2,MG,Collomia_linearis,COLI,0.039,0.0223,5/28/2022,KB_KVL,early,
FK,2,LG,Carex_filifolia,CAFI,0.062,0.0224,6/1/2022,KB_KVL,early,
TB,1,LG,Lithospermum_incisum,LIIN,0.063,0.0225,5/28/2022,KB_KVL,early,
TB,2,MG,Plantago_patagonica,PLPA,0.059,0.0227,5/28/2022,KB_KVL,early,
TB,1,LG,Lomatium_ foeniculaceum,LOFO,0.061,0.0229,5/28/2022,KB_KVL,early,
FK,2,MG,Bromus_arvensis,BRAR,0.032,0.0232,6/1/2022,KB_KVL,early,
TB,2,LG,Bromus_arvensis,BRAR,0.03,0.0234,5/28/2022,KB_KVL,early,
TB,2,LG,Antennaria_parvifolia,ANPA,0.043,0.024,5/28/2022,KB_KVL,early,
FK,2,HG,Carex_filifolia,CAFI,0.021,0.024,6/1/2022,KB_KVL,early,
FK,3,MG,Lydogesmia_juncea,LYJU,0.048,0.024,6/1/2022,KB_KVL,early,
FK,3,LG,Aristida_purpurea,ARPU,0.029,0.024,7/2/2022,KB_MF,late,
TB,1,HG,Lithospermum_incisum,LIIN,0.042,0.0241,5/28/2022,KB_KVL,early,
FK,1,LG,Carex_filifolia,CAFI,0.056,0.0242,5/30/2022,KB_KVL,early,
TB,1,MG,Plantago_patagonica,PLPA,0.054,0.0243,5/28/2022,KB_KVL,early,
FK,3,MG,Koeleria_macrantha,KOMA,0.044,0.0244,6/1/2022,KB_KVL,early,
TB,1,HG,Koeleria_macrantha,KOMA,0.032,0.0245,5/28/2022,KB_KVL,early,
FK,1,MG,Carex_filifolia,CAFI,0.037,0.0246,5/30/2022,KB_KVL,early,
FK,1,MG,Lithospermum_incisum,LIIN,0.049,0.0247,5/30/2022,KB_KVL,early,
TB,1,HG,Bouteloua_ gracilis,BOGR,0.028,0.0247,6/30/2022,KB_AY,late,
TB,2,HG,Lomatium_ foeniculaceum,LOFO,0.057,0.025,5/29/2022,KB_KVL,early,
FK,1,HG,Lydogesmia_juncea,LYJU,0.043,0.025,6/1/2022,KB_KVL,early,
TB,2,HG,Koeleria_macrantha,KOMA,0.038,0.0251,5/28/2022,KB_KVL,early,
TB,2,HG,Hesperostipa_comata,HECO,0.036,0.0253,5/28/2022,KB_KVL,early,
TB,3,LG,Hesperostipa_comata,HECO,0.031,0.0253,5/29/2022,KB_KVL,early,
FK,2,MG,Koeleria_macrantha,KOMA,0.036,0.0254,6/1/2022,KB_KVL,early,
FK,2,MG,Artemisia_cana,ARCA,0.029,0.0254,7/2/2022,KB_MF,late,
FK,2,LG,Hesperostipa_comata,HECO,0.033,0.0255,6/1/2022,KB_KVL,early,
TB,1,LG,Sphaeralcea_ coccinea,SPCO,0.038,0.0256,5/28/2022,KB_KVL,early,
TB,1,MG,Koeleria_macrantha,KOMA,0.031,0.0258,5/28/2022,KB_KVL,early,
TB,2,MG,Carex_filifolia,CAFI,0.03,0.026,5/28/2022,KB_KVL,early,
TB,2,MG,Aristida_purpurea,ARPU,0.026,0.026,6/30/2022,KB_AY,late,
FK,2,HG,Hesperostipa_comata,HECO,0.04,0.0261,6/1/2022,KB_KVL,early,
TB,1,LG,Tetraneuris_acaulis,TEAC,0.039,0.0262,5/28/2022,KB_KVL,early,
TB,2,LG,Lomatium_ foeniculaceum,LOFO,0.067,0.0267,5/28/2022,KB_KVL,early,
TB,1,HG,Musineon_divaricatum,MUDI,0.037,0.0272,5/28/2022,KB_KVL,early,
TB,1,LG,Musineon_divaricatum,MUDI,0.063,0.0278,5/28/2022,KB_KVL,early,
TB,1,HG,Artemisia_tridentata,ARTR,0.045,0.0281,6/30/2022,KB_AY,late,
TB,1,LG,Bromus_tectorum,BRTE,0.023,0.0282,5/28/2022,KB_KVL,early,
FK,3,MG,Artemisia_cana,ARCA,0.036,0.0284,7/2/2022,KB_MF,late,
FK,2,MG,Aristida_purpurea,ARPU,0.022,0.0285,7/2/2022,KB_MF,late,
FK,2,LG,Lithospermum_incisum,LIIN,0.054,0.0286,6/1/2022,KB_KVL,early,
FK,1,MG,Conyza_canadensis,COCA,0.042,0.029,5/30/2022,KB_KVL,early,
FK,1,HG,Koeleria_macrantha,KOMA,0.027,0.0297,6/1/2022,KB_KVL,early,
TB,3,HG,Allium_textile,ALTE,0.046,0.0301,5/29/2022,KB_KVL,early,
FK,1,MG,Liatris_punctata,LIPU,0.049,0.0308,5/30/2022,KB_KVL,early,
FK,1,HG,Artemisia_cana,ARCA,0.032,0.031,7/2/2022,KB_MF,late,
TB,2,MG,Musineon_divaricatum,MUDI,0.045,0.0312,5/28/2022,KB_KVL,early,
FK,2,HG,Artemisia_cana,ARCA,0.03,0.0319,7/2/2022,KB_MF,late,
FK,2,MG,Hesperostipa_comata,HECO,0.028,0.0322,6/1/2022,KB_KVL,early,
TB,2,HG,Vicia_americana,VIAM,0.04,0.0324,5/29/2022,KB_KVL,early,
FK,1,LG,Koeleria_macrantha,KOMA,0.033,0.0328,5/30/2022,KB_KVL,early,
TB,3,LG,Lomatium_ foeniculaceum,LOFO,0.05,0.035,5/29/2022,KB_KVL,early,
TB,1,HG,Sphaeralcea_ coccinea,SPCO,0.046,0.0353,5/28/2022,KB_KVL,early,
FK,2,LG,Artemisia_cana,ARCA,0.033,0.0355,7/2/2022,KB_MF,late,
FK,2,HG,Koeleria_macrantha,KOMA,0.039,0.0359,6/1/2022,KB_KVL,early,
FK,1,MG,Carex_duriuscula,CADU,0.028,0.036,5/30/2022,KB_KVL,early,
TB,2,MG,Koeleria_macrantha,KOMA,0.04,0.0361,5/28/2022,KB_KVL,early,
TB,1,HG,Pascopyrum_smithii,PASM,0.033,0.0364,5/28/2022,KB_KVL,early,
TB,3,MG,Hesperostipa_comata,HECO,0.044,0.0364,5/29/2022,KB_KVL,early,
FK,1,MG,Hesperostipa_comata,HECO,0.029,0.0364,5/30/2022,KB_KVL,early,
FK,3,HG,Pascopyrum_smithii,PASM,0.051,0.0374,6/2/2022,KB_KVL,early,
TB,1,LG,Psoralidium_ tenuiflorum,PSTE,0.045,0.0375,5/28/2022,KB_KVL,early,
TB,3,HG,Musineon_divaricatum,MUDI,0.023,0.0379,5/29/2022,KB_KVL,early,
TB,1,MG,Hesperostipa_comata,HECO,0.037,0.0382,5/28/2022,KB_KVL,early,
FK,2,HG,Lithospermum_incisum,LIIN,0.057,0.0382,6/1/2022,KB_KVL,early,
FK,1,MG,Artemisia_cana,ARCA,0.041,0.0387,7/2/2022,KB_MF,late,
TB,2,HG,Nassella_viridula,NAVI,0.025,0.0395,5/29/2022,KB_KVL,early,
TB,1,LG,Allium_textile,ALTE,0.045,0.0398,5/28/2022,KB_KVL,early,
FK,1,MG,Koeleria_macrantha,KOMA,0.036,0.0403,5/30/2022,KB_KVL,early,
FK,2,LG,Koeleria_macrantha,KOMA,0.041,0.0404,6/1/2022,KB_KVL,early,
FK,1,LG,Artemisia_cana,ARCA,0.037,0.0404,7/2/2022,KB_MF,late,
TB,1,HG,Bromus_tectorum,BRTE,0.038,0.0406,5/28/2022,KB_KVL,early,
TB,2,HG,Musineon_divaricatum,MUDI,0.03,0.0414,5/29/2022,KB_KVL,early,
TB,3,LG,Picradeniopsis_ oppositifolia,PIOP,0.042,0.0419,5/29/2022,KB_KVL,early,Change # on other datasheet from MUDI to PIOP
TB,1,MG,Logfia_arvensis,LOAR,0.035,0.0441,5/28/2022,KB_KVL,early,
FK,1,LG,Hesperostipa_comata,HECO,0.035,0.0449,5/30/2022,KB_KVL,early,
FK,3,LG,Hesperostipa_comata,HECO,0.035,0.0449,6/1/2022,KB_KVL,early,
TB,1,MG,Psoralidium_ tenuiflorum,PSTE,0.042,0.045,5/28/2022,KB_KVL,early,
TB,2,MG,Tetraneuris_acaulis,TEAC,0.044,0.0483,5/28/2022,KB_KVL,early,
FK,2,HG,Carex_duriuscula,CADU,0.039,0.0489,6/1/2022,KB_KVL,early,
TB,1,HG,Psoralidium_ tenuiflorum,PSTE,0.042,0.0493,5/28/2022,KB_KVL,early,
TB,2,HG,Erigeron_canus,ERCA,0.054,0.0493,5/28/2022,KB_KVL,early,
TB,2,MG,Psoralidium_ tenuiflorum,PSTE,0.028,0.0495,5/28/2022,KB_KVL,early,
TB,3,MG,Allium_textile,ALTE,0.078,0.0495,5/29/2022,KB_KVL,early,
TB,3,MG,Sphaeralcea_ coccinea,SPCO,0.041,0.0498,5/29/2022,KB_KVL,early,
TB,2,MG,Hesperostipa_comata,HECO,0.036,0.0499,5/28/2022,KB_KVL,early,
FK,1,LG,Lithospermum_incisum,LIIN,0.054,0.0503,5/30/2022,KB_KVL,early,
TB,1,LG,Taraxacum_officinale,TAOF,0.045,0.0508,5/28/2022,KB_KVL,early,
TB,1,MG,Sphaeralcea_ coccinea,SPCO,0.045,0.0508,5/28/2022,KB_KVL,early,
TB,3,HG,Lomatium_ foeniculaceum,LOFO,0.032,0.051,5/29/2022,KB_KVL,early,
FK,3,HG,Hesperostipa_comata,HECO,0.037,0.0511,6/2/2022,KB_KVL,early,
FK,1,LG,Bromus_tectorum,BRTE,0.021,0.0532,5/30/2022,KB_KVL,early,
FK,2,MG,Liatris_punctata,LIPU,0.05,0.0533,6/1/2022,KB_KVL,early,another LIIN - changed on datasheet and scanned data
FK,1,HG,Sporobolus_cryptandrus,SPCR,0.025,0.0533,7/2/2022,KB_MF,late,
TB,2,LG,Sphaeralcea_ coccinea,SPCO,0.043,0.0539,5/28/2022,KB_KVL,early,
FK,1,HG,Taraxacum_officinale,TAOF,0.028,0.0544,6/1/2022,KB_KVL,early,
FK,2,LG,Sporobolus_cryptandrus,SPCR,0.024,0.0545,7/2/2022,KB_MF,late,
FK,2,LG,Taraxacum_officinale,TAOF,0.028,0.0554,6/1/2022,KB_KVL,early,
TB,1,HG,Plantago_patagonica,PLPA,0.045,0.0557,5/28/2022,KB_KVL,early,
TB,2,HG,Allium_textile,ALTE,0.09,0.0564,5/28/2022,KB_KVL,early,
TB,2,LG,Vicia_americana,VIAM,0.037,0.0568,5/28/2022,KB_KVL,early,
FK,3,LG,Koeleria_macrantha,KOMA,0.036,0.0579,6/1/2022,KB_KVL,early,PASM - change on all datasheets
FK,1,LG,Pascopyrum_smithii,PASM,0.046,0.058,5/30/2022,KB_KVL,early,
TB,1,MG,Bromus_tectorum,BRTE,0.047,0.0594,5/28/2022,KB_KVL,early,
TB,2,HG,Psoralidium_ tenuiflorum,PSTE,0.054,0.0597,5/29/2022,KB_KVL,early,
FK,3,LG,Taraxacum_officinale,TAOF,0.042,0.0599,6/1/2022,KB_KVL,early,
FK,2,LG,Pascopyrum_smithii,PASM,0.038,0.0605,6/1/2022,KB_KVL,early,
FK,1,HG,Astragalus_gracilis,ASGR,0.041,0.0606,5/30/2022,KB_KVL,early,
TB,1,MG,Taraxacum_officinale,TAOF,0.03,0.0611,5/28/2022,KB_KVL,early,
TB,2,HG,Pascopyrum_smithii,PASM,0.035,0.0616,5/29/2022,KB_KVL,early,
TB,3,LG,Sphaeralcea_ coccinea,SPCO,0.041,0.0617,5/29/2022,KB_KVL,early,
TB,2,MG,Nassella_viridula,NAVI,0.022,0.062,5/28/2022,KB_KVL,early,
TB,1,LG,Pascopyrum_smithii,PASM,0.037,0.0628,5/28/2022,KB_KVL,early,
TB,3,LG,Allium_textile,ALTE,0.074,0.0636,5/29/2022,KB_KVL,early,
TB,2,MG,Vicia_americana,VIAM,0.043,0.0648,5/28/2022,KB_KVL,early,
TB,1,LG,Nassella_viridula,NAVI,0.039,0.0651,5/28/2022,KB_KVL,early,
FK,3,MG,Sphaeralcea_ coccinea,SPCO,0.039,0.0655,6/1/2022,KB_KVL,early,
TB,2,MG,Allium_textile,ALTE,0.033,0.0656,5/28/2022,KB_KVL,early,
FK,3,MG,Taraxacum_officinale,TAOF,0.041,0.0657,6/1/2022,KB_KVL,early,
TB,3,LG,Vicia_americana,VIAM,0.036,0.0662,5/29/2022,KB_KVL,early,
TB,3,MG,Pascopyrum_smithii,PASM,0.029,0.0679,5/29/2022,KB_KVL,early,
TB,1,MG,Pascopyrum_smithii,PASM,0.035,0.0701,5/28/2022,KB_KVL,early,
TB,1,HG,Allium_textile,ALTE,0.062,0.0702,5/28/2022,KB_KVL,early,
TB,3,MG,Nassella_viridula,NAVI,0.025,0.0705,5/29/2022,KB_KVL,early,
TB,1,LG,Vicia_americana,VIAM,0.027,0.0709,5/28/2022,KB_KVL,early,
TB,1,HG,Nassella_viridula,NAVI,0.021,0.0711,5/28/2022,KB_KVL,early,
TB,1,MG,Nassella_viridula,NAVI,0.025,0.0715,5/28/2022,KB_KVL,early,
TB,3,MG,Vicia_americana,VIAM,0.039,0.0724,5/29/2022,KB_KVL,early,
TB,3,HG,Sphaeralcea_ coccinea,SPCO,0.035,0.0726,5/29/2022,KB_KVL,early,
TB,3,HG,Taraxacum_officinale,TAOF,0.04,0.0729,5/29/2022,KB_KVL,early,
