site,block,paddock,genus_species,species_code,leaf_thickness_(mm),wet_leaf_weight_g,date,personelle,season,comments
TB,1,HG,Vicia_americana,VIAM,0.038,0.0741,5/28/2022,KB_KVL,early,
TB,3,HG,Nassella_viridula,NAVI,0.022,0.0745,5/29/2022,KB_KVL,early,
FK,3,LG,Lithospermum_incisum,LIIN,0.036,0.0746,6/1/2022,KB_KVL,early,
TB,3,LG,Pascopyrum_smithii,PASM,0.032,0.0749,5/29/2022,KB_KVL,early,
FK,2,HG,Taraxacum_officinale,TAOF,0.05,0.0749,6/1/2022,KB_KVL,early,
FK,3,MG,Sporobolus_cryptandrus,SPCR,0.02,0.0749,7/2/2022,KB_MF,late,
TB,2,MG,Lomatium_ foeniculaceum,LOFO,0.047,0.0752,5/28/2022,KB_KVL,early,
FK,3,LG,Liatris_punctata,LIPU,0.026,0.0783,6/1/2022,KB_KVL,early,
TB,2,HG,Tetraneuris_acaulis,TEAC,0.041,0.0787,5/29/2022,KB_KVL,early,
TB,1,LG,Picradeniopsis_ oppositifolia,PIOP,0.062,0.0791,5/28/2022,KB_KVL,early,
FK,2,LG,Astragalus_purshii,ASPU,0.061,0.0795,6/1/2022,KB_KVL,early,
TB,2,HG,Sphaeralcea_ coccinea,SPCO,0.037,0.0797,5/29/2022,KB_KVL,early,
TB,3,HG,Vicia_americana,VIAM,0.037,0.0812,5/29/2022,KB_KVL,early,
FK,2,HG,Astragalus_gracilis,ASGR,0.043,0.0823,6/1/2022,KB_KVL,early,
FK,3,HG,Sporobolus_cryptandrus,SPCR,0.03,0.0826,7/2/2022,KB_MF,late,
FK,3,LG,Sporobolus_cryptandrus,SPCR,0.02,0.083,7/2/2022,KB_MF,late,
FK,2,LG,Sphaeralcea_ coccinea,SPCO,0.043,0.0848,6/1/2022,KB_KVL,early,
TB,3,HG,Pascopyrum_smithii,PASM,0.035,0.0864,5/29/2022,KB_KVL,early,
FK,1,LG,Taraxacum_officinale,TAOF,0.045,0.0869,5/30/2022,KB_KVL,early,
TB,2,LG,Nassella_viridula,NAVI,0.023,0.087,5/28/2022,KB_KVL,early,
TB,3,MG,Taraxacum_officinale,TAOF,0.031,0.0875,5/29/2022,KB_KVL,early,
FK,3,HG,Sphaeralcea_ coccinea,SPCO,0.045,0.0884,6/2/2022,KB_KVL,early,
FK,2,HG,Sporobolus_cryptandrus,SPCR,0.019,0.0894,7/2/2022,KB_MF,late,
TB,1,HG,Taraxacum_officinale,TAOF,0.043,0.0921,5/28/2022,KB_KVL,early,
TB,3,LG,Nassella_viridula,NAVI,0.024,0.0945,5/29/2022,KB_KVL,early,
TB,2,HG,Picradeniopsis_ oppositifolia,PIOP,0.082,0.097,5/29/2022,KB_KVL,early,
FK,2,HG,Sphaeralcea_ coccinea,SPCO,0.047,0.0976,6/1/2022,KB_KVL,early,
TB,1,MG,Vicia_americana,VIAM,0.036,0.0982,5/28/2022,KB_KVL,early,
FK,1,MG,Sporobolus_cryptandrus,SPCR,0.02,0.0984,7/2/2022,KB_MF,late,
FK,1,HG,Pascopyrum_smithii,PASM,0.038,0.0987,6/1/2022,KB_KVL,early,
FK,1,MG,Taraxacum_officinale,TAOF,0.029,0.10108,5/30/2022,KB_KVL,early,
FK,2,MG,Pascopyrum_smithii,PASM,0.035,0.1011,6/1/2022,KB_KVL,early,
FK,3,HG,Liatris_punctata,LIPU,0.055,0.1014,6/2/2022,KB_KVL,early,
FK,1,LG,Sphaeralcea_ coccinea,SPCO,0.058,0.1017,5/30/2022,KB_KVL,early,
FK,3,LG,Sphaeralcea_ coccinea,SPCO,0.039,0.1025,6/1/2022,KB_KVL,early,
TB,3,MG,Musineon_divaricatum,MUDI,0.035,0.1033,5/29/2022,KB_KVL,early,
FK,3,HG,Taraxacum_officinale,TAOF,0.042,0.1034,6/2/2022,KB_KVL,early,
FK,2,HG,Pascopyrum_smithii,PASM,0.04,0.1048,6/1/2022,KB_KVL,early,
FK,3,LG,Pascopyrum_smithii,PASM,0.048,0.1083,6/1/2022,KB_KVL,early,
TB,3,LG,Taraxacum_officinale,TAOF,0.033,0.1092,5/29/2022,KB_KVL,early,
FK,2,HG,Liatris_punctata,LIPU,0.053,0.1115,6/1/2022,KB_KVL,early,
FK,2,MG,Astragalus_gracilis,ASGR,0.049,0.1123,6/1/2022,KB_KVL,early,
TB,2,HG,Tragopogon_dubius,TRDU,0.03,0.113,5/29/2022,KB_KVL,early,
FK,3,HG,Lithospermum_incisum,LIIN,0.064,0.1174,6/2/2022,KB_KVL,early,
FK,3,MG,Pascopyrum_smithii,PASM,0.053,0.1178,6/1/2022,KB_KVL,early,
FK,1,HG,Tragopogon_dubius,TRDU,0.034,0.1199,6/1/2022,KB_KVL,early,
FK,3,HG,Tragopogon_dubius,TRDU,0.055,0.1218,6/2/2022,KB_KVL,early,
FK,2,MG,Taraxacum_officinale,TAOF,0.028,0.1241,6/1/2022,KB_KVL,early,
FK,1,HG,Liatris_punctata,LIPU,0.039,0.1263,6/1/2022,KB_KVL,early,
FK,1,LG,Liatris_punctata,LIPU,0.05,0.1282,5/30/2022,KB_KVL,early,
FK,2,HG,Astragalus_purshii,ASPU,0.045,0.1324,6/1/2022,KB_KVL,early,
FK,3,LG,Astragalus_gracilis,ASGR,0.035,0.1337,6/1/2022,KB_KVL,early,
FK,1,MG,Astragalus_gracilis,ASGR,0.039,0.1351,5/30/2022,KB_KVL,early,
FK,2,LG,Astragalus_gracilis,ASGR,0.056,0.1363,6/1/2022,KB_KVL,early,
TB,3,MG,Tragopogon_dubius,TRDU,0.027,0.1367,5/29/2022,KB_KVL,early,
TB,3,MG,Lomatium_ foeniculaceum,LOFO,0.042,0.1402,5/29/2022,KB_KVL,early,
FK,3,MG,Astragalus_gracilis,ASGR,0.034,0.1405,6/1/2022,KB_KVL,early,
FK,1,LG,Astragalus_gracilis,ASGR,0.041,0.1412,5/30/2022,KB_KVL,early,
FK,1,MG,Pascopyrum_smithii,PASM,0.045,0.1455,5/30/2022,KB_KVL,early,
FK,1,LG,Astragalus_purshii,ASPU,0.039,0.1466,5/30/2022,KB_KVL,early,
FK,3,HG,Astragalus_gracilis,ASGR,0.033,0.1469,6/1/2022,KB_KVL,early,
TB,2,MG,Pascopyrum_smithii,PASM,0.04,0.1494,5/28/2022,KB_KVL,early,
FK,1,MG,Sphaeralcea_ coccinea,SPCO,0.031,0.1495,5/30/2022,KB_KVL,early,
FK,1,LG,Pediomelum_ esculentum,PEES,0.045,0.1533,5/30/2022,KB_KVL,early,
TB,3,LG,Tragopogon_dubius,TRDU,0.042,0.1545,5/29/2022,KB_KVL,early,
FK,2,LG,Tragopogon_dubius,TRDU,0.033,0.1563,6/1/2022,KB_KVL,early,
FK,3,HG,Astragalus_purshii,ASPU,0.048,0.1583,6/1/2022,KB_KVL,early,
TB,2,HG,Taraxacum_officinale,TAOF,0.03,0.1586,5/29/2022,KB_KVL,early,
FK,3,MG,Lithospermum_incisum,LIIN,0.058,0.1599,6/1/2022,KB_KVL,early,LIPU - change on all things
FK,2,HG,Tragopogon_dubius,TRDU,0.035,0.1618,6/1/2022,KB_KVL,early,
FK,2,MG,Sporobolus_cryptandrus,SPCR,0.034,0.1633,7/2/2022,KB_MF,late,
TB,2,MG,Taraxacum_officinale,TAOF,0.02,0.1655,5/28/2022,KB_KVL,early,
FK,1,LG,Tragopogon_dubius,TRDU,0.042,0.1665,5/30/2022,KB_KVL,early,
TB,1,MG,Tragopogon_dubius,TRDU,0.057,0.1674,5/28/2022,KB_KVL,early,
FK,3,MG,Liatris_punctata,LIPU,0.043,0.168,6/1/2022,KB_KVL,early,
FK,3,LG,Tragopogon_dubius,TRDU,0.055,0.1697,6/1/2022,KB_KVL,early,
FK,2,MG,Tragopogon_dubius,TRDU,0.048,0.1706,6/1/2022,KB_KVL,early,
FK,1,HG,Sphaeralcea_ coccinea,SPCO,0.044,0.1723,6/1/2022,KB_KVL,early,
FK,2,MG,Sphaeralcea_ coccinea,SPCO,0.042,0.1816,6/1/2022,KB_KVL,early,
TB,2,HG,Nothocalais_cuspidate,NOCU,0.076,0.1885,5/29/2022,KB_KVL,early,
TB,1,LG,Tragopogon_dubius,TRDU,0.034,0.1888,5/28/2022,KB_KVL,early,
FK,1,LG,Sporobolus_cryptandrus,SPCR,0.023,0.1923,7/2/2022,KB_MF,late,
TB,3,HG,Tragopogon_dubius,TRDU,0.052,0.1937,5/29/2022,KB_KVL,early,
TB,1,LG,Nothocalais_cuspidate,NOCU,0.054,0.1993,5/28/2022,KB_KVL,early,
FK,3,MG,Astragalus_purshii,ASPU,0.058,0.2039,6/1/2022,KB_KVL,early,
TB,2,MG,Astragalus_bisulcatus,ASBI,0.025,0.2155,5/28/2022,KB_KVL,early,
TB,1,MG,Allium_textile,ALTE,0.058,0.2296,5/28/2022,KB_KVL,early,
TB,2,LG,Nothocalais_cuspidate,NOCU,0.045,0.2382,5/28/2022,KB_KVL,early,
FK,3,LG,Astragalus_purshii,ASPU,0.057,0.2383,6/1/2022,KB_KVL,early,
FK,2,LG,Liatris_punctata,LIPU,0.054,0.2398,6/1/2022,KB_KVL,early,
TB,2,MG,Tragopogon_dubius,TRDU,0.038,0.24,5/28/2022,KB_KVL,early,
FK,3,MG,Tragopogon_dubius,TRDU,0.078,0.2545,6/1/2022,KB_KVL,early,
TB,2,LG,Cirsium_undulatum,CIUN,0.061,0.2588,5/28/2022,KB_KVL,early,
FK,1,MG,Tragopogon_dubius,TRDU,0.031,0.2598,5/30/2022,KB_KVL,early,
TB,3,HG,Nothocalais_cuspidate,NOCU,0.037,0.2784,5/29/2022,KB_KVL,early,
TB,3,MG,Astragalus_bisulcatus,ASBI,0.027,0.283,5/29/2022,KB_KVL,early,
TB,2,LG,Tragopogon_dubius,TRDU,0.039,0.2835,5/28/2022,KB_KVL,early,
FK,2,MG,Astragalus_purshii,ASPU,0.035,0.3065,6/1/2022,KB_KVL,early,
TB,1,HG,Cirsium_undulatum,CIUN,0.062,0.3161,5/28/2022,KB_KVL,early,
TB,2,MG,Nothocalais_cuspidate,NOCU,0.069,0.3407,5/28/2022,KB_KVL,early,
TB,3,LG,Astragalus_bisulcatus,ASBI,0.039,0.3446,5/29/2022,KB_KVL,early,
TB,1,LG,Astragalus_bisulcatus,ASBI,0.029,0.3478,5/28/2022,KB_KVL,early,
FK,3,LG,Pediomelum_ esculentum,PEES,0.063,0.3542,6/1/2022,KB_KVL,early,
TB,2,HG,Astragalus_bisulcatus,ASBI,0.038,0.3622,5/28/2022,KB_KVL,early,3 leaves wouldn’t open (worms)
TB,1,HG,Tragopogon_dubius,TRDU,0.042,0.3631,5/28/2022,KB_KVL,early,
FK,1,HG,Astragalus_purshii,ASPU,0.063,0.3755,5/30/2022,KB_KVL,early,
TB,1,MG,Astragalus_bisulcatus,ASBI,0.037,0.3849,5/28/2022,KB_KVL,early,
TB,1,HG,Nothocalais_cuspidate,NOCU,0.038,0.3936,5/28/2022,KB_KVL,early,
FK,1,MG,Pediomelum_ esculentum,PEES,0.036,0.4168,5/30/2022,KB_KVL,early,
TB,1,MG,Nothocalais_cuspidate,NOCU,0.054,0.4226,5/28/2022,KB_KVL,early,
TB,1,HG,Astragalus_bisulcatus,ASBI,0.03,0.4425,5/28/2022,KB_KVL,early,
TB,3,LG,Cirsium_undulatum,CIUN,0.046,0.458,5/29/2022,KB_KVL,early,
FK,1,HG,Pediomelum_ esculentum,PEES,0.058,0.4682,6/1/2022,KB_KVL,early,
TB,3,HG,Astragalus_bisulcatus,ASBI,0.03,0.5037,5/29/2022,KB_KVL,early,
TB,2,LG,Astragalus_bisulcatus,ASBI,0.03,0.5232,5/28/2022,KB_KVL,early,
TB,2,LG,Psoralidium_ tenuiflorum,PSTE,0.044,0.534,5/28/2022,KB_KVL,early,
FK,3,HG,Pediomelum_ esculentum,PEES,0.044,0.5412,6/2/2022,KB_KVL,early,
FK,2,HG,Pediomelum_ esculentum,PEES,0.043,0.5708,6/1/2022,KB_KVL,early,
FK,2,MG,Pediomelum_ esculentum,PEES,0.042,0.5771,6/1/2022,KB_KVL,early,
TB,1,LG,Cirsium_undulatum,CIUN,0.045,0.5788,5/28/2022,KB_KVL,early,
FK,1,MG,Astragalus_purshii,ASPU,0.034,0.6456,5/30/2022,KB_KVL,early,
TB,2,LG,Allium_textile,ALTE,0.065,0.712,5/28/2022,KB_KVL,early,
FK,3,MG,Pediomelum_ esculentum,PEES,0.063,0.718,6/1/2022,KB_KVL,early,
FK,2,LG,Pediomelum_ esculentum,PEES,0.038,0.8191,6/1/2022,KB_KVL,early,
TB,2,LG,Pascopyrum_smithii,PASM,0.036,0.848,5/28/2022,KB_KVL,early,
TB,3,MG,Cirsium_undulatum,CIUN,0.091,0.8996,5/29/2022,KB_KVL,early,
TB,1,MG,Picradeniopsis_ oppositifolia,PIOP,0.07,0.978,5/28/2022,KB_KVL,early,
TB,3,HG,Cirsium_undulatum,CIUN,0.079,1.1777,5/29/2022,KB_KVL,early,
TB,2,MG,Phlox_hoodia,PHHO,0.029,<0.0001,5/28/2022,KB_KVL,early,
TB,2,HG,Descurainia_pinnata,DEPI,0.03,<0.0001,5/28/2022,KB_KVL,early,
FK,2,HG,Lydogesmia_juncea,LYJU,0.037,0.0233,6/1/2022,KB_KVL,early,
TB,1,LG,Elymus_elymoides,ELEL,,,5/28/2022,KB_KVL,early,
TB,1,LG,Oonopsis_multicaulis,OOMU,,,5/28/2022,KB_KVL,early,
TB,1,LG,Polygonum_aviculare,POAV,,,5/28/2022,KB_KVL,early,
TB,1,MG,Cirsium_undulatum,CIUN,,,5/28/2022,KB_KVL,early,
TB,1,MG,Elymus_elymoides,ELEL,,,5/28/2022,KB_KVL,early,
TB,1,MG,Oonopsis_multicaulis,OOMU,,,5/28/2022,KB_KVL,early,
TB,1,MG,Polygonum_aviculare,POAV,,,5/28/2022,KB_KVL,early,
TB,1,HG,Elymus_elymoides,ELEL,,,5/28/2022,KB_KVL,early,
TB,1,HG,Oonopsis_multicaulis,OOMU,,,5/28/2022,KB_KVL,early,
TB,1,HG,Polygonum_aviculare,POAV,,,5/28/2022,KB_KVL,early,
TB,2,LG,Elymus_elymoides,ELEL,,,5/28/2022,KB_KVL,early,
TB,2,LG,Oonopsis_multicaulis,OOMU,,,5/28/2022,KB_KVL,early,
TB,2,LG,Polygonum_aviculare,POAV,,,5/28/2022,KB_KVL,early,
TB,2,MG,Cirsium_undulatum,CIUN,,,5/28/2022,KB_KVL,early,
TB,2,MG,Elymus_elymoides,ELEL,,,5/28/2022,KB_KVL,early,
TB,2,MG,Oonopsis_multicaulis,OOMU,,,5/28/2022,KB_KVL,early,
TB,2,MG,Polygonum_aviculare,POAV,,,5/28/2022,KB_KVL,early,
TB,2,HG,Cirsium_undulatum,CIUN,,,5/28/2022,KB_KVL,early,
TB,2,HG,Elymus_elymoides,ELEL,,,5/28/2022,KB_KVL,early,
TB,2,HG,Oonopsis_multicaulis,OOMU,,,5/29/2022,KB_KVL,early,
TB,2,HG,Polygonum_aviculare,POAV,,,5/29/2022,KB_KVL,early,
TB,3,LG,Bromus_tectorum,BRTE,,,5/29/2022,KB_KVL,early,
TB,3,LG,Elymus_elymoides,ELEL,,,5/29/2022,KB_KVL,early,
TB,3,LG,Lepidium_densiflorum,LEDE,,,5/29/2022,KB_KVL,early,
TB,3,LG,Musineon_divaricatum,MUDI,,,5/29/2022,KB_KVL,early,bag was not MUDI - change to PIOP
TB,3,LG,Nothocalais_cuspidate,NOCU,,,5/29/2022,KB_KVL,early,
TB,3,LG,Oenothera_ siffrtescuns,OESU,,,5/29/2022,KB_KVL,early,
TB,3,LG,Oonopsis_multicaulis,OOMU,,,5/29/2022,KB_KVL,early,
TB,3,LG,Polygonum_aviculare,POAV,,,5/29/2022,KB_KVL,early,
TB,3,LG,Psoralidium_ tenuiflorum,PSTE,,,5/29/2022,KB_KVL,early,
TB,3,LG,Tetraneuris_acaulis,TEAC,,,5/29/2022,KB_KVL,early,
TB,3,MG,Carex_filifolia,CAFI,,,5/29/2022,KB_KVL,early,
TB,3,MG,Collomia_linearis,COLI,,,5/29/2022,KB_KVL,early,
TB,3,MG,Elymus_elymoides,ELEL,,,5/29/2022,KB_KVL,early,
TB,3,MG,Lepidium_densiflorum,LEDE,,,5/29/2022,KB_KVL,early,
TB,3,MG,Lithospermum_incisum,LIIN,,,5/29/2022,KB_KVL,early,
TB,3,MG,Nothocalais_cuspidate,NOCU,,,5/29/2022,KB_KVL,early,
TB,3,MG,Oenothera_ siffrtescuns,OESU,,,5/29/2022,KB_KVL,early,
TB,3,MG,Oonopsis_multicaulis,OOMU,,,5/29/2022,KB_KVL,early,
TB,3,MG,Picradeniopsis_ oppositifolia,PIOP,,,5/29/2022,KB_KVL,early,
TB,3,MG,Polygonum_aviculare,POAV,,,5/29/2022,KB_KVL,early,
TB,3,MG,Psoralidium_ tenuiflorum,PSTE,,,5/29/2022,KB_KVL,early,
TB,3,MG,Tetraneuris_acaulis,TEAC,,,5/29/2022,KB_KVL,early,
TB,3,HG,Carex_duriuscula,CADU,,,5/29/2022,KB_KVL,early,
TB,3,HG,Elymus_elymoides,ELEL,,,5/29/2022,KB_KVL,early,
TB,3,HG,Lepidium_densiflorum,LEDE,,,5/29/2022,KB_KVL,early,
TB,3,HG,Lithospermum_incisum,LIIN,,,5/29/2022,KB_KVL,early,
TB,3,HG,Oenothera_ siffrtescuns,OESU,,,5/29/2022,KB_KVL,early,
TB,3,HG,Oonopsis_multicaulis,OOMU,,,5/29/2022,KB_KVL,early,
TB,3,HG,Picradeniopsis_ oppositifolia,PIOP,,,5/29/2022,KB_KVL,early,
TB,3,HG,Polygonum_aviculare,POAV,,,5/29/2022,KB_KVL,early,
TB,3,HG,Psoralidium_ tenuiflorum,PSTE,,,5/29/2022,KB_KVL,early,
TB,3,HG,Tetraneuris_acaulis,TEAC,,,5/29/2022,KB_KVL,early,
TB,3,HG,Vulpia_octoflora,VUOC,,,5/29/2022,KB_KVL,early,
FK,1,LG,Asclepias_stenophylla,ASST,,,5/30/2022,KB_KVL,early,
FK,1,LG,Euphorbia_nutans,EUNU,,,5/30/2022,KB_KVL,early,
FK,1,LG,Lactuca_serriola,LASE,,,5/30/2022,KB_KVL,early,
FK,1,LG,Linum_rigidum,LIRI,,,5/30/2022,KB_KVL,early,
FK,1,LG,Oenothera_ siffrtescuns,OESU,,,5/30/2022,KB_KVL,early,
FK,1,LG,Psoralidium_ tenuiflorum,PSTE,,,5/30/2022,KB_KVL,early,
FK,1,LG,Vicia_americana,VIAM,,,5/30/2022,KB_KVL,early,
FK,1,MG,Asclepias_stenophylla,ASST,,,5/30/2022,KB_KVL,early,
FK,1,MG,Euphorbia_nutans,EUNU,,,5/30/2022,KB_KVL,early,
FK,1,MG,Lactuca_serriola,LASE,,,5/30/2022,KB_KVL,early,
FK,1,MG,Linum_rigidum,LIRI,,,5/30/2022,KB_KVL,early,
FK,1,MG,Oenothera_ siffrtescuns,OESU,,,5/30/2022,KB_KVL,early,
FK,1,MG,Psoralidium_ tenuiflorum,PSTE,,,5/30/2022,KB_KVL,early,
FK,1,MG,Vicia_americana,VIAM,,,5/30/2022,KB_KVL,early,
FK,1,HG,Asclepias_stenophylla,ASST,,,5/30/2022,KB_KVL,early,
FK,1,HG,Euphorbia_nutans,EUNU,,,6/1/2022,KB_KVL,early,
FK,1,HG,Lactuca_serriola,LASE,,,6/1/2022,KB_KVL,early,
FK,1,HG,Linum_rigidum,LIRI,,,6/1/2022,KB_KVL,early,
FK,1,HG,Oenothera_ siffrtescuns,OESU,,,6/1/2022,KB_KVL,early,
FK,1,HG,Psoralidium_ tenuiflorum,PSTE,,,6/1/2022,KB_KVL,early,
FK,1,HG,Vicia_americana,VIAM,,,6/1/2022,KB_KVL,early,
FK,2,LG,Asclepias_stenophylla,ASST,,,6/1/2022,KB_KVL,early,
FK,2,LG,Bromus_tectorum,BRTE,,,6/1/2022,KB_KVL,early,"not BRTE - did not measure, remove from data"
FK,2,LG,Euphorbia_nutans,EUNU,,,6/1/2022,KB_KVL,early,
FK,2,LG,Lactuca_serriola,LASE,,,6/1/2022,KB_KVL,early,
FK,2,LG,Linum_rigidum,LIRI,,,6/1/2022,KB_KVL,early,
FK,2,LG,Oenothera_ siffrtescuns,OESU,,,6/1/2022,KB_KVL,early,
FK,2,LG,Psoralidium_ tenuiflorum,PSTE,,,6/1/2022,KB_KVL,early,
FK,2,LG,Vicia_americana,VIAM,,,6/1/2022,KB_KVL,early,
FK,2,MG,Asclepias_stenophylla,ASST,,,6/1/2022,KB_KVL,early,
FK,2,MG,Euphorbia_nutans,EUNU,,,6/1/2022,KB_KVL,early,
FK,2,MG,Lactuca_serriola,LASE,,,6/1/2022,KB_KVL,early,
FK,2,MG,Linum_rigidum,LIRI,,,6/1/2022,KB_KVL,early,
FK,2,MG,Oenothera_ siffrtescuns,OESU,,,6/1/2022,KB_KVL,early,
FK,2,MG,Psoralidium_ tenuiflorum,PSTE,,,6/1/2022,KB_KVL,early,
FK,2,MG,Vicia_americana,VIAM,0,,6/1/2022,KB_KVL,early,
FK,2,HG,Asclepias_stenophylla,ASST,,,6/1/2022,KB_KVL,early,
FK,2,HG,Euphorbia_nutans,EUNU,,,6/1/2022,KB_KVL,early,
FK,2,HG,Lactuca_serriola,LASE,,,6/1/2022,KB_KVL,early,
FK,2,HG,Linum_rigidum,LIRI,,,6/1/2022,KB_KVL,early,
FK,2,HG,Oenothera_ siffrtescuns,OESU,,,6/1/2022,KB_KVL,early,
FK,2,HG,Psoralidium_ tenuiflorum,PSTE,,,6/1/2022,KB_KVL,early,
FK,2,HG,Vicia_americana,VIAM,,,6/1/2022,KB_KVL,early,
FK,3,LG,Asclepias_stenophylla,ASST,,,6/1/2022,KB_KVL,early,
FK,3,LG,Euphorbia_nutans,EUNU,,,6/1/2022,KB_KVL,early,
FK,3,LG,Lactuca_serriola,LASE,,,6/1/2022,KB_KVL,early,
FK,3,LG,Linum_rigidum,LIRI,,,6/1/2022,KB_KVL,early,
FK,3,LG,Oenothera_ siffrtescuns,OESU,,,6/1/2022,KB_KVL,early,
FK,3,LG,Psoralidium_ tenuiflorum,PSTE,,,6/1/2022,KB_KVL,early,
FK,3,LG,Vicia_americana,VIAM,,,6/1/2022,KB_KVL,early,
FK,3,MG,Asclepias_stenophylla,ASST,,,6/1/2022,KB_KVL,early,
FK,3,MG,Euphorbia_nutans,EUNU,,,6/1/2022,KB_KVL,early,
FK,3,MG,Lactuca_serriola,LASE,,,6/1/2022,KB_KVL,early,
FK,3,MG,Linum_rigidum,LIRI,,,6/1/2022,KB_KVL,early,
FK,3,MG,Oenothera_ siffrtescuns,OESU,,,6/1/2022,KB_KVL,early,
FK,3,MG,Psoralidium_ tenuiflorum,PSTE,,,6/1/2022,KB_KVL,early,
FK,3,MG,Vicia_americana,VIAM,,,6/1/2022,KB_KVL,early,
FK,3,HG,Asclepias_stenophylla,ASST,,,6/1/2022,KB_KVL,early,
FK,3,HG,Euphorbia_nutans,EUNU,,,6/2/2022,KB_KVL,early,
FK,3,HG,Lactuca_serriola,LASE,,,6/2/2022,KB_KVL,early,
FK,3,HG,Linum_rigidum,LIRI,,,6/2/2022,KB_KVL,early,
FK,3,HG,Oenothera_ siffrtescuns,OESU,,,6/2/2022,KB_KVL,early,
FK,3,HG,Psoralidium_ tenuiflorum,PSTE,,,6/2/2022,KB_KVL,early,
FK,3,HG,Vicia_americana,VIAM,,,6/2/2022,KB_KVL,early,
TB,1,LG,Sporobolus_ cryptandrus,SPCR,,,6/30/2022,KB_AY,late,
TB,1,MG,Sporobolus_ cryptandrus,SPCR,,,6/30/2022,KB_AY,late,
TB,1,HG,Sporobolus_ cryptandrus,SPCR,,,6/30/2022,KB_AY,late,
TB,2,LG,Sporobolus_ cryptandrus,SPCR,,,6/30/2022,KB_AY,late,
TB,2,MG,Sporobolus_ cryptandrus,SPCR,,,6/30/2022,KB_AY,late,
TB,2,HG,Sporobolus_ cryptandrus,SPCR,,,6/30/2022,KB_AY,late,
TB,3,LG,Aristida_purpurea,ARPU,,,6/30/2022,KB_AY,late,
TB,3,LG,Artemisia_frigida,ARFR,,,6/30/2022,KB_AY,late,
TB,3,LG,Sporobolus_ cryptandrus,SPCR,,,6/30/2022,KB_AY,late,
TB,3,MG,Aristida_purpurea,ARPU,,,6/30/2022,KB_AY,late,
TB,3,MG,Artemisia_frigida,ARFR,,,6/30/2022,KB_AY,late,
TB,3,MG,Sporobolus_ cryptandrus,SPCR,,,6/30/2022,KB_AY,late,
TB,3,HG,Aristida_purpurea,ARPU,,,6/30/2022,KB_AY,late,
TB,3,HG,Gutierrezia_sarothrae,GUSA,,,6/30/2022,KB_AY,late,
TB,3,HG,Sporobolus_ cryptandrus,SPCR,,,6/30/2022,KB_AY,late,
FK,1,LG,Artemisia_tridentata,ARTR,,,7/2/2022,KB_MF,late,
FK,1,MG,Artemisia_tridentata,ARTR,,,7/2/2022,KB_MF,late,
FK,1,HG,Artemisia_tridentata,ARTR,,,7/2/2022,KB_MF,late,
FK,2,LG,Artemisia_tridentata,ARTR,,,7/2/2022,KB_MF,late,
FK,2,MG,Artemisia_tridentata,ARTR,,,7/2/2022,KB_MF,late,
FK,2,HG,Artemisia_tridentata,ARTR,,,7/2/2022,KB_MF,late,
FK,3,LG,Artemisia_tridentata,ARTR,,,7/2/2022,KB_MF,late,
FK,3,MG,Artemisia_tridentata,ARTR,,,7/2/2022,KB_MF,late,
FK,3,HG,Artemisia_tridentata,ARTR,,,7/2/2022,KB_MF,late,
