entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total,added_total_excel,rock,dung,moss,lichen,mushroom,litter,bareground,final_total,final_total_excel,BODA,BOGR,BRAR,BRTE,HECO,KOMA,PASM,SPCR,VUOC,CADU,CAFI,ARCA,ARDR,ARFR,COVI,OPPO,ALDE,ANOC,ANPA,AMPS,ASVI,COCA,HEHI,LASE,LEDE,LIPU,LIRI,LOAR,LYJU,OESU,PEES,PHHO,PLPA,SPCO,TAOF,TRDU,VIAM,POSE,Poa_diseased_Kwpic?,Linear_leaf_hairy_red_stem_KWpic?,LIIN,ARPU
MF,KW,6/22/2021,2021,FK,1,aerial,20,23,23.75,,,,,,80,1,,104.75,,,12,0.25,2,,,,0.25,8,,,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.25,,,,
MF,KW,6/22/2021,2021,FK,1,basal,,10,10.25,,,,,,90,2,,102.25,,,5,0.25,1,,,,0.25,3,,,0.25,,,,,,,,,,,,,,,,0.25,,,,,,,,,0.25,,,,
MF,KW,6/22/2021,2021,FK,20,aerial,50,52,52.25,,,,,,50,0.5,,102.75,8,,0.5,30,8,,0.5,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,
MF,KW,6/22/2021,2021,FK,20,basal,,30,30.25,,,,,,70,0.25,,100.5,7,,0.25,13,7,,0.25,,,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,
MF,KW,6/22/2021,2021,FK,22,aerial,18,17,17,,0.5,,,,80,0.5,,98,,0.5,6,3,0.5,0.25,0.5,,,6,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
MF,KW,6/22/2021,2021,FK,22,basal,,8,8.25,,1,,,,90,1,,100.25,,0.25,3,1,0.25,0.25,0.25,,,3,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
MF,KK,6/22/2021,2021,FK,2,aerial,25,23.5,23.25,,,,,,74,1,,98.25,,0.25,0.25,17,,,1,,,0.5,1,,,0.5,,,,,,,,,,,,,,,1,,,,,0.5,0.25,1,,,,,,
MF,KK,6/22/2021,2021,FK,2,basal,12,12.5,10.5,,,,,,85,2,,97.5,,0.25,0.25,8,,,0.25,,,0.25,0.25,,,0.25,,,,,,,,,,,,,,,0.25,,,,,0.25,0.25,0.25,,,,,,
MF,AD,6/23/2021,2021,FK,21,aerial,,13,11.5,,1,,,,80,2,96,94.5,,0.25,4,0.5,,,0.25,,0.25,0.25,0.25,,,1,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,,4,,,,
MF,AD,6/23/2021,2021,FK,21,basal,,6,6,,2,,,,85,3,96,96,,0.25,0.5,0.25,,,0.25,,0.25,0.25,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,,3,,,,
MF,AD,6/23/2021,2021,FK,23,aerial,30,30,29.75,,3,,,,60,2,95,94.75,,0.25,4,,1,1,0.5,,0.5,0.25,16,,,0.25,,,,,,,,,,,,,,,,0.5,,,,2,0.25,3,,0.25,,,,
MF,AD,6/23/2021,2021,FK,23,basal,,12,12,,4,,,,80,3,99,99,,0.25,1,,0.25,0.5,0.25,,0.25,0.25,7,,,0.25,,,,,,,,,,,,,,,,0.25,,,,0.25,0.25,1,,0.25,,,,
MF,AD,6/23/2021,2021,FK,31,aerial,,23,23,0.25,3,,0.25,,50,22,98.5,98.5,,0.25,2,1,3,,0.25,,0.25,,5,,,,,,,,,,,,,,,,,,,0.25,,,,6,,2,,3,,,,
MF,AD,6/23/2021,2021,FK,31,basal,,8,7.75,0.25,4,,0.25,,60,25,98,97.25,,0.25,0.25,0.25,0.25,,0.25,,0.25,,3,,,,,,,,,,,,,,,,,,,0.25,,,,0.5,,0.5,,2,,,,
MF,AD,6/23/2021,2021,FK,35,aerial,,21,20.5,,,,0.25,,75,3,98.5,98.75,,0.25,14,,0.5,,0.25,,0.25,0.25,2,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.5,,2,,,,
MF,AD,6/23/2021,2021,FK,35,basal,,5,4.75,,,,0.25,,85,4,95,94,,0.25,1,,0.25,,0.25,,0.25,0.25,1,,,0.25,,,,,,,,,,,,,,,,,,,,,,0.25,,1,,,,
MF,AD,6/23/2021,2021,FK,26,aerial,,30,22,,1,,,,65,3,99,91,,0.5,11,0.25,0.5,1,0.25,,0.25,,7,,,0.25,,,,,,,,,,,,,,,,,,,,0.25,0.25,,,0.5,,,,
MF,AD,6/23/2021,2021,FK,26,basal,,7,7,,2,,,,85,4,98,98,,0.25,0.5,0.25,0.25,0.25,0.25,,0.25,,4,,,0.25,,,,,,,,,,,,,,,,,,,,0.25,0.25,,,0.25,,,,
MF,AD/KK,6/23/2021,2021,FK,30,aerial,,35,35.5,,1,,,,60,4,100,100.5,,,5,1,0.25,3,,,0.25,0.25,18,3,,0.25,,,,,,,,,,,,,,,,,,,,1,0.5,1,,2,,,,
MF,AD/KK,6/23/2021,2021,FK,30,basal,,15,15,,2,,,,75,5,97,97,,,0.5,0.25,0.25,1,,,0.25,0.25,10,0.5,,0.25,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,,1,,,,
MF,AD/KK,6/23/2021,2021,FK,54,aerial,15,18,16.75,0.25,0.25,,,,20,61,,98.25,,0.25,3,0.25,1,1,1,,0.25,1,6,,,0.5,0.5,,,,,,,,,,,,,,,,,,,0.25,0.25,0.5,,1,,,,
MF,AD/KK,6/23/2021,2021,FK,54,basal,10,11,8.5,0.25,0.25,,,,22,63,,94,,0.25,0.25,0.25,0.5,0.5,0.25,,0.25,0.25,4,,,0.25,0.5,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,,0.5,,,,
MF,AD/KK,6/23/2021,2021,FK,50,aerial,25,22,21.25,,0.25,,,,73,5,,99.5,,1,4,2,6,0.5,0.5,,0.25,,2,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,3,0.5,,1,,,,
MF,AD/KK,6/23/2021,2021,FK,50,basal,15,12,10,,0.25,,,,80,10,,100.25,,0.5,0.25,0.25,4,0.25,0.25,,0.25,,1,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,2,0.25,,0.5,,,,
MF,KK,6/23/2021,2021,FK,42,aerial,30,27,26.5,,3,,,,70,1,,100.5,,0.5,8,0.25,3,1,,,0.25,,9,,,,,,,,,,,,,,,,,,,,,,,3,0.5,,,1,,,,
MF,KK,6/23/2021,2021,FK,42,basal,18,14,14.5,,4,,,,79,3,,100.5,,0.25,2,0.25,2,0.5,,,0.25,,8,,,,,,,,,,,,,,,,,,,,,,,0.25,0.5,,,0.5,,,,
MF,KK,6/23/2021,2021,FK,40,aerial,35,38,37.25,,0.25,,,,55,6,,98.5,,,0.25,30,0.5,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,0.25,,,0.25,,,,
MF,KK,6/23/2021,2021,FK,40,basal,9,9,8,,1,,,,80,10,,99,,,0.25,6,0.25,,0.25,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,,,0.25,,,,
MF,KK,6/23/2021,2021,FK,38,aerial,40,41,39.25,,,,,,60,1,,100.25,,0.25,4,0.25,25,0.5,0.25,,,0.25,8,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,,,0.25,,,,
MF,KK,6/23/2021,2021,FK,38,basal,30,31,28.25,,,,,,70,2,,100.25,,0.25,0.25,0.25,20,0.25,0.25,,,0.25,6,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,,,0.25,,,,
MF,KK,6/23/2021,2021,FK,45,aerial,70,68,67.25,,6,,,,25,0.5,,98.75,,0.25,1,60,3,,0.5,,,,1,,1,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
MF,KK,6/23/2021,2021,FK,45,basal,55,55,53.75,,7,,,,38,1,,99.75,,0.25,0.25,50,2,,0.25,,,,0.5,,0.25,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
MF,KK,6/23/2021,2021,FK,46,aerial,30,30,29.75,,0.25,,,,70,0.25,,100.25,,0.25,20,0.5,6,,0.25,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.5,0.25,,,1,,,,
MF,KK,6/23/2021,2021,FK,46,basal,10,11,10.75,,1,,,,88,0.5,,100.25,,0.25,4,0.25,4,,0.25,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,,,0.5,,,,
MF,KK,6/23/2021,2021,FK,48,aerial,50,50,49,,0.25,,,,50,0.25,,99.5,,,35,0.25,10,,,,0.25,0.25,1,,,,,,,,,,,,,,,,,,,0.25,,,,2,,,,,,,,
MF,KK,6/23/2021,2021,FK,48,basal,20,19,17.75,,1,,,,80,0.25,,99,,,8,0.25,8,,,,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,0.25,,,,0.25,,,,,,,,
MF,KK,6/23/2021,2021,FK,47,aerial,15,14,13.75,,2,,,,80,5,,100.75,,,4,0.25,2,,1,,,0.25,4,,,,0.5,,,,,,,,,,,,,,,0.5,,,0.25,,,,,1,,,,
MF,KK,6/23/2021,2021,FK,47,basal,8,8,6.5,,2,,,,85,6,,99.5,,,0.25,0.25,1,,0.25,,,0.25,3,,,,0.5,,,,,,,,,,,,,,,0.25,,,0.25,,,,,0.5,,,,
MF,KK,6/22/2021,2021,FK,12,aerial,,,19.75,,5,,,,65,5,,94.75,,0.5,0.5,10,4,,0.25,,0.5,,,,,0.5,,,,,0.25,,,,,,,,,,3,,,,,0.25,,,,,,,,
MF,KK,6/22/2021,2021,FK,12,basal,,,7,,8,,,,75,3,,93,,0.25,0.25,3,2,,0.25,,0.25,,,,,0.25,,,,,0.25,,,,,,,,,,0.25,,,,,0.25,,,,,,,,
MF,KK,6/22/2021,2021,FK,15,aerial,45,45.5,45,,2,,,,45,3,,95,,2,8,6,17,2,0.25,,0.25,,3,,,,,,,,,,,,,,,,,,,0.25,,,0.25,2,,,,4,,,,
MF,KK,6/22/2021,2021,FK,15,basal,20,22,20.25,,3,,,,65,6,,94.25,,1,3,1,9,1,0.25,,0.25,,1,,,,,,,,,,,,,,,,,,,0.25,,,0.25,0.25,,,,3,,,,
MF,KK,6/22/2021,2021,FK,5,aerial,20,24,21.75,,2,,,,65,10,,98.75,,0.25,4,3,4,,0.25,,,,6,,,,,,0.25,,,,,,,,,,,,,,,,,2,,,,1,1,,,
MF,KK,6/22/2021,2021,FK,5,basal,10,10,13,,3,,,,70,14,,100,,0.25,1,0.25,3,,0.25,,,,7,,,,,,0.25,,,,,,,,,,,,,,,,,0.25,,,,0.5,0.25,,,
MF,SK,6/23/2021,2021,FK,3,aerial,45,,37.75,,1,,,,60,4,,102.75,,,12,3,20,,0.5,,,,1,,,0.25,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,,,,
MF,SK,6/23/2021,2021,FK,3,basal,20,21,20.75,,1,,,,70,6,,97.75,,,4,0.25,15,,0.25,,,,0.5,,,0.25,,,,,,,,,,,,,,,0.25,,,,,,,,,0.25,,,,
MF,SK,6/23/2021,2021,FK,19,aerial,40,40,39.5,,,,,,45,7,,91.5,,,25,1,3,,8,,0.25,0.25,,,,0.5,,,,,,,,,,,,,,,,,,,,0.25,,0.25,,1,,,,
MF,SK,6/23/2021,2021,FK,19,basal,15,13,12,,,,,,70,15,,97,,,6,0.25,2,,2,,0.25,0.25,,,,0.25,,,,,,,,,,,,,,,,,,,,0.25,,0.25,,0.5,,,,
MF,SK,6/23/2021,2021,FK,24,aerial,30,30,30,,1,,,,70,1,,102,,,8,0.25,12,,2,,0.25,2,4,,,,,1,,,,,,,,,,,,,,,,,,0.25,,0.25,,,,,,
MF,SK,6/23/2021,2021,FK,24,basal,12,11,11.5,,1,,,,90,2,,104.5,,,0.5,0.25,6,,0.25,,0.25,0.25,3,,,,,0.5,,,,,,,,,,,,,,,,,,0.25,,0.25,,,,,,
MF,SK,6/23/2021,2021,FK,34,aerial,30,30.5,30.5,,1,,,,40,30,,101.5,,10,2,,9,2,3,,0.25,3,,,,0.25,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
MF,SK,6/23/2021,2021,FK,34,basal,15,15.5,16.25,,1,,,,45,40,,102.25,,7,0.25,,6,1,0.25,,0.25,1,,,,0.25,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,
MF,SK,6/23/2021,2021,FK,36,aerial,40,37,36.75,,0.25,,,,40,23,,100,,10,1,,6,,0.25,,0.25,3,5,,,,0.25,,,,,,,,,,,,,,1,,0.5,,,0.5,9,,,,,,,
MF,SK,6/23/2021,2021,FK,36,basal,20,21,21.25,,0.5,,,,55,25,,101.75,,8,0.25,,3,,0.25,,0.25,0.5,3,,,,0.25,,,,,,,,,,,,,,0.25,,0.25,,,0.25,5,,,,,,,
MF,SK,6/23/2021,2021,FK,27,aerial,30,28.5,28.75,,2,,,,55,15,,100.75,,2,2,0.25,7,1,0.25,,1,,10,,,0.5,,,,,,,,,,,,,,,0.5,,,,,,,0.25,,4,,,,
MF,SK,6/23/2021,2021,FK,27,basal,15,13.25,13.25,,3,,,,65,20,,101.25,,1,0.25,0.25,3,0.5,0.25,,0.25,,6,,,0.25,,,,,,,,,,,,,,,0.25,,,,,,,0.25,,1,,,,
MF,SK,6/23/2021,2021,FK,29,aerial,35,35,35.25,,,1,,,45,20,,101.25,,6,2,,6,,0.25,,1,,19,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,,0.25,,,,
MF,SK,6/23/2021,2021,FK,29,basal,20,20.75,21,,,2,,,55,23,,101,,3,0.25,,2,,0.25,,0.5,,14,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,,0.25,,,,
MF,SK,6/23/2021,2021,FK,53,aerial,25,27.75,27.75,,,1,,,60,15,,103.75,,4,1,,3,8,2,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.25,,
MF,SK,6/23/2021,2021,FK,53,basal,15,14.5,14.25,,,2,,,65,18,,99.25,,3,0.25,,1,4,0.25,,,0.25,5,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,0.25,,
MF,SK,6/23/2021,2021,FK,51,aerial,10,11.5,11.5,,,0.5,,,70,16,,98,,2,1,,,1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,1,,,,
MF,SK,6/23/2021,2021,FK,51,basal,5,4,3.75,,,1,,,75,20,,99.75,,0.5,0.25,,,0.5,0.25,,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,0.5,,,,
MF,SK,6/23/2021,2021,FK,41,aerial,40,37,37,,1,,,,45,15,,98,,4,0.5,,6,11,0.5,,,,12,,0.25,0.25,,,0.25,,,,,,,,,,,,,,,,,1,1,,,0.25,,,,
MF,SK,6/23/2021,2021,FK,41,basal,20,22,22.75,,2,,,,60,17,,101.75,,3,0.25,,4,6,0.25,,,,7,,0.25,0.25,,,0.25,,,,,,,,,,,,,,,,,0.25,1,,,0.25,,,,
MF,SK,6/23/2021,2021,FK,37,aerial,45,48.5,49.25,,0.25,,,,55,1,,105.5,,,35,3,4,,3,,,,2,,,,,,0.25,,,,,,,,,,,,,,,,,2,,,,,,,,
MF,SK,6/23/2021,2021,FK,37,basal,25,24,24.25,,1,,,,71,3,,99.25,,,20,0.25,2,,0.5,,,,1,,,,,,0.25,,,,,,,,,,,,,,,,,0.25,,,,,,,,
MF,SK,6/23/2021,2021,FK,43,aerial,40,40,40,,,,,,46,4,,90,,1,7,11,6,2,1,,0.25,,9,,,,,,,,,,,,,,,,,,,,,,,2,0.5,,,0.25,,,,
MF,SK,6/23/2021,2021,FK,43,basal,17,17,16.75,,,,,,66,15,,97.75,,0.5,3,2,3,1,0.25,,0.25,,6,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,,,0.25,,,,
MF,SK,6/23/2021,2021,FK,44,aerial,35,34.5,34.5,,,,,,47,18,,99.5,,0.5,3,10,12,3,0.5,,0.25,3,,,,,,,,,,,,,,,,,,0.25,,,,,,1,,1,,,,,,
MF,SK,6/23/2021,2021,FK,44,basal,15,13.5,13.5,,,,,,65,22,,100.5,,0.25,0.5,4,6,1,0.25,,0.25,0.5,,,,,,,,,,,,,,,,,,0.25,,,,,,0.25,,0.25,,,,,,
MF,AD,6/23/2021,2021,FK,39,aerial,,22,23.25,,2,,0.25,,70,4,98,99.5,,0.25,0.5,0.25,5,1,,,0.25,,12,,,,,,,,,,,,,,0.5,,,,,,,,,2,1,,,0.5,,,,
MF,AD,6/23/2021,2021,FK,39,basal,,12,12.25,,3,,0.25,,75,5,95,95.5,,0.25,0.25,0.25,2,0.25,,,0.25,,8,,,,,,,,,,,,,,0.25,,,,,,,,,0.25,0.25,,,0.25,,,,
MF,KK/KW/SK/AD,6/22/2021,2021,FK,11,aerial,,,28.5,,2,,,,65,7,,102.5,,1,2,10,2,1,0.25,,0.5,,9,,,,,,,,,,,,,,,,,,0.5,,,,,2,,,,,,,0.25,
MF,KK/KW/SK/AD,6/22/2021,2021,FK,11,basal,,,12.5,,3,,,,75,9,,99.5,,0.25,0.25,2,1,0.5,0.25,,0.25,,7,,,,,,,,,,,,,,,,,,0.25,,,,,0.5,,,,,,,0.25,
MF,KK/KW/SK/AD,6/22/2021,2021,FK,9,aerial,,,25,,1,,,,60,13,,99,,2,2,6,6,1,0.5,,0.25,,6,,,0.5,,,,,,,,,,,,,,,,,,,,0.5,,,,0.25,,,,
MF,KK/KW/SK/AD,6/22/2021,2021,FK,9,basal,,,13,,2,,,,70,16,,101,,1,0.25,1,4,0.5,0.25,,0.25,,5,,,0.25,,,,,,,,,,,,,,,,,,,,0.25,,,,0.25,,,,
MF,KK/KW/SK/AD,6/22/2021,2021,FK,7,aerial,,,21.75,,1,,,,45,30,,97.75,,0.5,1,2,4,3,1,,0.25,,7,,,0.25,,1,,,,,,,,,,,,,,0.5,,,0.25,,,0.25,,0.25,,,,0.5
MF,KK/KW/SK/AD,6/22/2021,2021,FK,7,basal,,,11.25,,2,,,,50,35,,98.25,,0.25,0.25,0.25,2,2,0.25,,0.25,,4,,,0.25,,0.5,,,,,,,,,,,,,,0.25,,,0.25,,,0.25,,0.25,,,,0.25
MF,KW,6/23/2021,2021,FK,32,aerial,25,23,23.5,0.25,2,,,,55,20,,100.75,0.5,2,4,,2,4,0.25,,0.25,,8,,,,,,,,,,,,,,,,,,,,,,,2,,0.5,,,,,,
MF,KW,6/23/2021,2021,FK,32,basal,,13,13.5,0.25,3,,,,60,25,,101.75,0.25,1,2,,1,2,0.25,,0.25,,6,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.25,,,,,,
MF,KW,6/23/2021,2021,FK,33,aerial,18,18,19.25,,0.5,1,0.25,,70,9,,100,,,4,,,,0.25,,0.25,3,11,,,,,,,,,,,,,,,0.25,,,,,,,,,,0.25,,0.25,,,,
MF,KW,6/23/2021,2021,FK,33,basal,,10,10.25,,0.5,1,0.25,,78,10,,100,,,1,,,,0.25,,0.25,1,7,,,,,,,,,,,,,,,0.25,,,,,,,,,,0.25,,0.25,,,,
MF,KW,6/23/2021,2021,FK,25,aerial,50,52,53.75,0.5,2,0.25,0.25,,40,7,,103.75,,3,5,30,5,7,0.5,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,1,,,,0.5,,,0.25,,,0.5,
MF,KW,6/23/2021,2021,FK,25,basal,30,29,30,0.5,3,0.25,0.25,,55,12,,101,,2,2,15,4,5,0.25,,0.25,,,,,0.25,,,,,,,,,,,,,,,,,0.5,,,,0.25,,,0.25,,,0.25,
MF,KK,6/22/2021,2021,FK,17,aerial,,,57,,,,,,40,5,,102,,4,0.25,45,3,,1,,0.25,,0.5,,0.25,0.5,,,,,,,,,,,,,,,,0.5,,,,1,,,,,,,0.25,0.5
MF,KK,6/22/2021,2021,FK,17,basal,,,27.5,,,,,,60,10,,97.5,,3,0.25,20,2,,0.25,,0.25,,0.25,,0.25,0.25,,,,,,,,,,,,,,,,0.25,,,,0.25,,,,,,,0.25,0.25
MF,KK,6/22/2021,2021,FK,18,aerial,,,48,,,,,,40,8,,96,,0.25,0.25,40,3,,0.25,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,3,,0.5,0.5,,,,,
MF,KK,6/22/2021,2021,FK,18,basal,,,18.75,,,,,,65,12,,95.75,,0.25,0.25,15,2,,0.25,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,0.25,,0.25,0.25,,,,,
MF,KK,6/22/2021,2021,FK,14,aerial,15,18,17.5,0.5,,,,,55,25,,98,,3,1,0.25,0.5,,0.25,,,,11,,,0.25,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,0.25,,,,
MF,KK,6/22/2021,2021,FK,14,basal,12,14,12,0.5,,,,,59,28,,99.5,,2,0.25,0.25,0.25,,0.25,,,,8,,,0.25,,,,,,,,,,,,,,,,0.25,,,,0.25,,,,0.25,,,,
MF,KW,6/22/2021,2021,FK,8,aerial,,,45.5,,0.25,,,,55,2,,102.75,,0.25,3,40,0.5,,1,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,
MF,KW,6/22/2021,2021,FK,8,basal,,,16.5,,0.5,,,,77,5,,99,,0.25,0.25,15,0.25,,0.25,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
MF,KW,6/22/2021,2021,FK,13,aerial,20,20,19.25,,0.5,,,,75,3,,97.75,,1,1,0.25,4,3,,,0.5,,8,,,1,,,,,,,,,,,,,,,,,,,,0.25,,0.25,,,,,,
MF,KW,6/22/2021,2021,FK,13,basal,,13,13.25,,0.5,,,,82,4,,99.75,,0.5,0.25,0.25,3,2,,,0.25,,6,,,0.5,,,,,,,,,,,,,,,,,,,,0.25,,0.25,,,,,,
MF,KW,6/22/2021,2021,FK,6,aerial,55,58,58.25,,3,,,,40,0.25,,101.5,,0.5,3,50,3,,0.25,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.25,,,,,,0.25,,
MF,KW,6/22/2021,2021,FK,6,basal,,24,24.25,,4,,,,70,0.25,,98.5,,0.25,1,20,2,,0.25,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,0.25,,,,,,0.25,,
MF,AD,6/22/2021,2021,FK,10,aerial,,,23,,0.5,,,,70,6,95,99.5,,0.5,0.25,12,0.25,0.25,0.25,,0.25,,5,,,0.5,,,,,,,,,,,,,,,,,,,,3,0.5,0.25,,,,,,
MF,AD,6/22/2021,2021,FK,10,basal,,,8.5,,1,,,,80,8,100,97.5,,0.25,0.25,4,0.25,0.25,0.25,,0.25,,2,,,0.25,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.25,,,,,,
MF,AD,6/22/2021,2021,FK,16,aerial,30,29.5,28.75,,,,,,65,2,97.5,95.75,,0.25,6,8,10,,,,0.5,,,,,0.5,,,,,,,,,,,0.25,,,,,,,,,2,0.25,0.5,,,,,0.5,
MF,AD,6/22/2021,2021,FK,16,basal,,,11,,,,,,80,4,97,95,,0.25,1,2,6,,,,0.25,,,,,0.25,,,,,,,,,,,0.25,,,,,,,,,0.25,0.25,0.25,,,,,0.25,
MF,AD,6/22/2021,2021,FK,4,aerial,25,28,26.75,,,,,,65,4,97,95.75,,0.25,8,0.25,5,,0.25,,0.25,,7,,,2,,,,,,,,,,,,,,,0.5,,,,,3,0.25,,,,,,,
MF,AD,6/22/2021,2021,FK,4,basal,,14,12.5,,,,,,80,5,99,97.5,,0.25,2,0.25,3,,0.25,,0.25,,5,,,0.5,,,,,,,,,,,,,,,0.25,,,,,0.5,0.25,,,,,,,
MF,KW,6/23/2021,2021,FK,28,aerial,15,16,17.5,0.25,3,0.25,0.25,,65,15,,101.25,,2,2,2,,,,,,,8,,0.5,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,
MF,KW,6/23/2021,2021,FK,28,basal,,10,10.75,0.25,4,0.25,0.25,,70,15,,100.5,,1,0.5,0.5,,,,,,,7,,0.25,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,,0.5,,,,
MF,AD,6/23/2021,2021,FK,52,aerial,,28,38,,2,,,0.25,65,5,100,110.25,,,7,0.25,1,5,0.25,,0.25,0.25,18,,,,,,,,,,,,,,,,,,,,,,,,2,1,,3,,,,
MF,AD,6/23/2021,2021,FK,52,basal,,17,17,,3,,,0.25,70,6,97,96.25,,,0.5,0.25,0.25,2,0.25,,0.25,0.25,11,,,,,,,,,,,,,,,,,,,,,,,,1,0.25,,1,,,,
MF,AD,6/23/2021,2021,FK,49,aerial,,24,23.75,,4,,0.25,0.25,67,4,100,99.25,,,1,6,1,2,0.25,,0.25,,8,,2,,,,,,,,,,,,,,,,,,,,,2,0.25,,,1,,,,
MF,AD,6/23/2021,2021,FK,49,basal,,10,9.25,,5,,0.25,0.25,80,5,100,99.75,,,0.25,0.5,0.25,1,0.25,,0.25,,5,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,0.25,,,0.5,,,,
