,,,,,,,,,,,,,,,,Opuntia pads #,Aristida purpurea,Bouteloua gracilis,Bromus tectorum,Hesperostipa comata,Koeleria macrantha,Nassella viridula,Pascopyrum smithii,Poa secunda,Vulpia octoflora,Carex duriuscula,Carex filifolia,Artemisia dracunculus,Artemisia frigida,Artemisia tridentata,Coryphantha vivipara,Gutierrezia sarothrae,Opuntia polyacantha,Allium textile,Alyssum desertorum,Draba reptans,Eremogone hookeri,Hedeoma hispida,Lepidium densiflorum,Lithospermum incisum,Logfia arvensis,Lomatium foeniculaceum,Musineon divaricatum,Oenotherea suffrutescens,Phlox hoodii,Plantago patagonica,Psoralidium tenuiflorum,Sphaeralcea coccinea,Taraxacum officinale,Tragopogon dubius,Vicia americana,Androsace occidentalis,Antennaria parvifolia,Astragalus lotiflorus,Astragalus bisulcatus,Bouteloua dactyloides,Bromus arvensis,Camelina microcarpa,Chamaesyce nutans,Cirsium canescens,Cirsium undulatum,Conyza canadensis,Collomia linearis ,Comandra umbellata,Descurainia pinnata,Descurainia sophia,Draba nemorosa,Elymus elymoides,Erigeron canus,Erigeron divergens/ochroleucus,Erigeron pumilus,Grindelia squarrosa,Lesquerella arenosa,Lesquerella ludoviciana,Leucocrinum montanum,Liatris punctata,Linum rigidum,Lygodesmia juncea,Machaeranthera canescens,Machaeranthera grindelioides,Machaeranthera pinnatifida,Nothocalais cuspidata,Nuttallanthus texanus,Oenotherea suffrutescens,Orobanche fasciculata,Penstemon albidus,Penstemon eriantherus,Pediomelum esculentum,Picradeniopsis oppositifolia,Polygonum aviculare,Scorzonera laciniata,Schedonnardus paniculatus,Sporobolus cryptandrus,Tetraneuris acaulis,Tradescantia occidentalis,Veronica peregrina,Viola nuttallii ,Zigadenus venenosus,Lupinus pusillus,STANDING DEADArtemisia tridentata,STANDING DEAD Bromus arvensis,STANDING DEAD Bromus tectorum,STANDING DEAD Logfia arvensis,STANDING DEAD Pascopyrum smithii,Penstemon sp.,CRCE/LELU/Penstemon sp,Oenothera?,Unknown #7 baby guara?,UNKN8 basal rosette lancroiati,Unk #3 Basal Rosette,Unk #3 soft point leaf KW photo,Unkn #10 small linear leaf KW photo,Cirsium sp.,Oneothera n?,,,NOTES
Jill Baty,Kim LaPierre,6/22/18,2018,TB,33,Aerial,75,75,75,9,0,10,8,0.5,0,,0,48,0.5,0,4,,8,3,0.5,0,0,,0,0,,,6,0,0,0,,0.5,0.5,0,1,,,0,0,0.5,0.5,0,,,0,,,,,,2,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.5,.,
Jill Baty,Kim LaPierre,6/22/18,2018,TB,33,Basal,45,47,47,19,0,10,25,0.5,0,,0,35,0.5,0,2,,3,1,0.5,0,0,,0,0,,,2,0,0,0,,0.5,0.5,0,0.5,,,0,0,0.5,0.5,0,,,0,,,,,,0.5,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,2,
Jill Baty,Kim LaPierre,6/22/18,2018,TB,35,Aerial,62,64,64.5,15,0.5,14,5,0.5,0,,0,45,0,0,2,,9,2,0,0,0,,0,0,,,3,0.5,0,0,,0,0.5,0,0.5,,,0,0,1,0,0,,,0,,,,,,0.5,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,2,.,
Jill Baty,Kim LaPierre,6/22/18,2018,TB,35,Basal,48,45,45.5,22,0.5,14,18,0.5,0,,0,35,0,0,1,,5,0.5,0,0,0,,0,0,,,1,0.5,0,0,,0,0.5,0,0.5,,,0,0,0.5,0,0,,,0,,,,,,0.5,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,4,4,
Jill Baty,Kim LaPierre,6/22/18,2018,TB,4,Aerial,75,75,71.5,5,2,8,2,15,0,,4,30,0.5,4,5,,3,0,0,0,1,,0,0,,,5,0,0,0.5,,0.5,0.5,0,15,,,0,0,1,1,0,,,1,,,,,,3,,,,,,,,,,,,,,,,,0.5,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,.,
Jill Baty,Kim LaPierre,6/22/18,2018,TB,4,Basal,50,52,49.5,3,2,8,10,15,0,,3,25,0.5,2,4,,1,0,0,0,0.5,,0,0,,,2,0,0,0.5,,0.5,0.5,0,10,,,0,0,0.5,0.5,0,,,0.5,,,,,,1,,,,,,,,,,,,,,,,,0.5,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,1,
Jill Baty,Kim LaPierre,6/22/18,2018,TB,46,Aerial,65,65,65,15,0,14,5,0,0,,0,0,0,0,18,1,14,1,0,0,0,,0,16,,0,1,0,0.5,0.5,,0,0,,0.5,,0.5,,1,0,,0,1,,9,,,,,,0.5,0,,,,,0.5,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,.,*MODE 0.5
Jill Baty,Kim LaPierre,6/22/18,2018,TB,46,Basal,28,30.5,30.5,35,0,14,20,0,0,,0,0,0,0,9,0.5,9,0.5,0,0,0,,0,5,,0,0.5,0,0.5,0.5,,0,0,,0.5,,0.5,,0.5,0,,0,0.5,,2,,,,,,0.5,0,,,,,0.5,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,*MODE 0.5
Jill Baty,Kim LaPierre,6/22/18,2018,TB,21,Aerial,65,65.5,65.5,7,2,4,12,10,0,,0,6,0,0,4,0,18,12,1,0.5,3,,0,3,,0,0,0,0,0,,2,0.5,,10,,0,,0,0.5,,0,0,,4,,,,,,0.5,0,,,,,0.5,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.5,.,
Jill Baty,Kim LaPierre,6/22/18,2018,TB,21,Basal,30,28,28,14,4,4,40,10,0,,0,4,0,0,1,0,10,5,0.5,0.5,1,,0,1,,0,0,0,0,0,,0.5,0.5,,2,,0,,0,0.5,,0,0,,0.5,,,,,,0.5,0,,,,,0.5,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.5,0,
Jill Baty,Kim LaPierre,6/22/18,2018,TB,24,Aerial,70,69,69,3,0.5,0,20,7,0,,0,1,9,0,0,0,5,2,1,0.5,12,,4,0,,0,0.5,0,0,0,,1,0.5,,30,,0,,0,0.5,,0,0,,0,,,,,,1,1,,,,,0,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,.,
Jill Baty,Kim LaPierre,6/22/18,2018,TB,24,Basal,32,35,34,6,1,0,51,7,0,,0,0.5,2,0,0,0,2,0.5,0.5,0.5,5,,2,0,,0,0.5,0,0,0,,0.5,0.5,,18,,0,,0,0.5,,0,0,,0,,,,,,0.5,0.5,,,,,0,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,
Jill Baty,Kim LaPierre,6/22/18,2018,TB,27,Aerial,45,48.5,41.5,10,0,13,3,0.5,0,,7,13,0,0,5,0,0.5,0.5,0.5,1,3,,6,0,,4,0,0,0,0,,0,0,,0,,0,,1,0.5,3,0,0,,2,,,,,,0,0,,,,,0,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,25,.,
Jill Baty,Kim LaPierre,6/22/18,2018,TB,27,Basal,30,31.5,25.5,15,0,13,7,0.5,0,,6,10,0,0,4,0,0.5,0.5,0.5,0.5,0.5,,2,0,,4,0,0,0,0,,0,0,,0,,0,,0.5,0.5,0,0,0,,0.5,,,,,,0,0,,,,,0,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,35,2,
Jill Baty,"KW, KL, LP, SK",6/21/18,2018,TB,37,Aerial,.,.,73.5,5,0,25,24,0,0,,,51,0,0,8,,4,0.5,0,0.5,0,,,0.5,,,0.5,0.5,0.5,0.5,,0,0,,0.5,0,,,,1,,0.5,0.5,,2,,,,,,1,0.5,,,,0.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,.,
Jill Baty,"KW, KL, LP, SK",6/21/18,2018,TB,37,Basal,.,.,52.5,15,0,25,30,0,0,,,40,0,0,4,,0.5,0.5,0,0.5,0,,,0.5,,,0.5,0.5,0.5,0.5,,0,0,,0.5,0,,,,0.5,,0.5,0.5,,0.5,,,,,,0.5,0.5,,,,0.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,15,
Jill Baty,"KW, KL, LP, SK",6/21/18,2018,TB,38,Aerial,.,.,85,2,2,17,21,0,0,,,61,0,0,2,,3,2,1,0.5,0,,,0,,,0,0,0.5,0.5,,0,0,,0.5,0.5,,,,10,,0.5,0.5,,0.5,,,,,,2,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,.,
Jill Baty,"KW, KL, LP, SK",6/21/18,2018,TB,38,Basal,.,.,62.5,9,3,17,14,0,0,,,50,0,0,1,,2,0.5,0.5,0.5,0,,,0,,,0,0,0.5,0.5,,0,0,,0.5,0.5,,,,4,,0.5,0.5,,0.5,,,,,,0.5,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,
Jill Baty,"KW, KL, LP, SK",6/21/18,2018,TB,39,Aerial,.,.,77,3,1,20,10,0,0,,,60,0,0,3,,2,1,0.5,0.5,0,,,0,,,0,0.5,0.5,0.5,,0,0,,0.5,0,,,,1,,0,0.5,,4,,,,,,0.5,0.5,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,4,.,
Jill Baty,"KW, KL, LP, SK",6/21/18,2018,TB,39,Basal,.,.,59,10,1,20,15,0,0,,,50,0,0,1,,0.5,0.5,0.5,0.5,0,,,0,,,0,0.5,0.5,0.5,,0,0,,0.5,0,,,,0.5,,0,0.5,,0.5,,,,,,0.5,0.5,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,
Jill Baty,"KW, KL, LP, SK",6/21/18,2018,TB,40,Aerial,.,.,78.5,3,3,2,22,0,0,,,15,0,0,0.5,,25,4,0,0.5,0,,,0,,,5,0.5,0.5,0.5,,0,0,,0.5,0,,,,2,,0.5,0.5,,5,,,,,,16,0.5,,,,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0,.,
Jill Baty,"KW, KL, LP, SK",6/21/18,2018,TB,40,Basal,.,.,37,5,4,2,52,0,0,,,8,0,0,0.5,,15,1,0,0.5,0,,,0,,,3,0.5,0.5,0.5,,0,0,,0.5,0,,,,0.5,,0.5,0.5,,0.5,,,,,,3,0.5,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0,
Jill Baty,"SK, LP, KL",6/22/18,2018,TB,41,Aerial,55,53,54,25,0.5,0.5,20,0,0,,,0,0,0,0,4,25,2,0,0.5,,,,0,,,,,0.5,0.5,,,,,,,0,,,0.5,,1,0.5,,6,,,,,,10,,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,1,0,
Jill Baty,"SK, LP, KL",6/22/18,2018,TB,41,Basal,25,28.5,28.5,41,0.5,0.5,32,0,0,,,0,0,0,0,2,18,0.5,0,0.5,0,,,0,,0,0,0,0.5,0.5,,0,0,,0,0,0,,,0.5,,0.5,0.5,,0.5,,,,,,3,0,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1,0,
Jill Baty,"SK, LP, KL",6/22/18,2018,TB,42,Aerial,62,59.5,59,20,0.5,3,15,0,0,,,0,0,0,7,3,28,2,0,0,0,,,3,,2,0,0.5,1,0.5,,0,0,,0.5,1,0,,,3,,2,0,,4,,,,,,0.5,0.5,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,1,0,
Jill Baty,"SK, LP, KL",6/22/18,2018,TB,42,Basal,33,34,33.5,35,0.5,3,25,0,0,,,0,0,0,5,2,19,0.5,0,0,0,,,1,,0.5,0,0.5,0.5,0.5,,0,0,,0.5,0.5,0,,,0.5,,0.5,0,,0.5,,,,,,0.5,0.5,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,2,0,
Jill Baty,"Sally Koerner, Kim LaPierre",6/22/18,2018,TB,49,Aerial,59,45,45,30,0.5,2,17,0,0,,,0,0,0,0,0,20,6,0,0,0,,,0,,0,0.5,0,0.5,0,,0,0,,0,0,0.5,,,8,,0.5,0,,0.5,,,,,,8,0,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,0.5,0,
Jill Baty,"Sally Koerner, Kim LaPierre",6/22/18,2018,TB,49,Basal,23,21,21,45,1,2,28,0,0,,,0,0,0,0,0,12,2,0,0,0,,,0,,0,0.5,0,0.5,0,,0,0,,0,0,0.5,,,3,,0.5,0,,0.5,,,,,,1,0,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,1,0,
Jill Baty,"Sally Koerner, Kim LaPierre",6/22/18,2018,TB,51,Aerial,65,64,43.5,13,0.5,8,12,0.5,0,,,0,0,0,3,0,8,10,0,0,0,,,1,,0,5,0.5,0.5,0,,0,0,,0,0.5,0.5,,,0.5,,0,3,,3,,,,,,7,0,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,0.5,0,
Jill Baty,"Sally Koerner, Kim LaPierre",6/22/18,2018,TB,51,Basal,35,34,34,28,0.5,8,26,0.5,0,,,0,0,0,2,0,18,4,0,0,0,,,0.5,,0,3,0.5,0.5,0,,0,0,,0,0.5,0.5,,,0.5,,0,0.5,,0.5,,,,,,2,0,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,2,0,
Jill Baty,Sally Koerner,6/22/18,2018,TB,23,Aerial,65,83,83,5,1,12,15,20,0,,0,50,0,0,7,,10,6,0.5,1,0,,0,0,,,0,0,0,0.5,,0.5,0,0,6,,0,0,0,0,0,0,,,0,,,,,,1,0,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,.,
Jill Baty,Sally Koerner,6/22/18,2018,TB,23,Basal,55,58,59,5,1,12,14,20,0,,0,42,0,0,4,,6,2,0.5,0.5,0,,0,0,,,0,0,0,0.5,,0.5,0,0,2,,0,0,0,0,0,0,,,0,,,,,,0.5,0,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,6,
Jill Baty,Sally Koerner,6/22/18,2018,TB,26,Aerial,60,73.5,73.5,2,1,23,10,20,0,,0,30,0,0,7,,4,7,0.5,6,2,,2,3,,,0,0,0,0,,0,0,0,1,,0,0,1,6,0,0,,,4,,,,,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,
Jill Baty,Sally Koerner,6/22/18,2018,TB,26,Basal,45,42.5,42.5,2,2,23,10,20,0,,0,25,0,0,4,,2,3,0.5,2,1,,1,0.5,,,0,0,0,0,,0,0,0,0.5,,0,0,0.5,2,0,0,,,0.5,,,,,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,
Jill Baty,Sally Koerner,6/22/18,2018,TB,29,Aerial,55,65,62.5,30,6,3,2,1,0,,2,25,0,1,5,,1,0,0.5,0.5,1,,10,0,,,0,0.5,0,0.5,,0,2,0.5,0.5,,0,1,6,0.5,5,0,,,0,,,,,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,.,
Jill Baty,Sally Koerner,6/22/18,2018,TB,29,Basal,45,44.5,42,32,10,3,4,1,0,,2,22,0,0.5,4,,0.5,0,0.5,0.5,0.5,,4,0,,,0,0.5,0,0.5,,0,0.5,0.5,0.5,,0,0.5,4,0.5,1,0,,,0,,,,,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,
Jill Baty,Sally Koerner,6/22/18,2018,TB,31,Aerial,60,64,66,25,0.5,12,5,0,0,,0,40,0,1,12,,3,3,0.5,0,0,,0,0,,,1,1,0,0.5,,0,0.5,0,1,,0.5,0,0,0.5,0,0,,,0,,,,,,0.5,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,
Jill Baty,Sally Koerner,6/22/18,2018,TB,31,Basal,53,50.5,52,18,1,12,10,0,0,,0,35,0,1,9,,1,1,0.5,0,0,,0,0,,,0.5,0.5,0,0.5,,0,0.5,0,0.5,,0.5,0,0,0.5,0,0,,,0,,,,,,0.5,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,.,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,50,Aerial,50,50,50,25,0.5,4,20,0,0,,,0,0,0,0,0,30,9,0.5,0.5,0,,,0,,,0,1,0.5,0,,0,0,,0,0,2,,,0.5,,0.5,0,,2,,,,,,3,0,,,,,0.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,2,.,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,50,Basal,50,31,31,30,0.5,4,32,0,0,,,0,0,0,0,0,20,6,0.5,0.5,0,,,0,,,0,0.5,0.5,0,,0,0,,0,0,0.5,,,0.5,,0.5,0,,0.5,,,,,,0.5,0,,,,,0.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,4,0,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,52,Aerial,52,42.5,42.5,25,0,9,20,0,0,,,0,0,0,2,0,24,2,0,0,0,,,7,,,0,0.5,0.5,0,,0,0,,0,0,0.5,,,0,,0,0,,3,,,,,,2,0,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,2,.,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,52,Basal,52,23.5,23.5,35,0,9,30,0,0,,,0,0,0,1,0,15,1,0,0,0,,,3,,,0,0.5,0.5,0,,0,0,,0,0,0.5,,,0,,0,0,,0.5,,,,,,0.5,0,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,4,0,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,54,Aerial,54,31.5,31.5,15,0.5,16,45,0,0,,,0,0,0,0,0,14,5,0,0,0,,,3,,,0,0.5,0.5,0,,0,0,,0,0,2,,,0,,0,0,,3,,,,,,0.5,0,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,,,,,,,,,,,,,,,,,,6,.,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,54,Basal,54,19.5,19.5,20,0.5,20,50,0,0,,,0,0,0,0,0,11,2,0,0,0,,,2,,,0,0.5,0.5,0,,0,0,,0,0,0.5,,,0,,0,0,,0.5,,,,,,0.5,0,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,8,0,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,43,Aerial,43,76.5,76.5,6,0.5,9,10,0,0,,,16,0,0,9,4,18,2,0,1,0,,,1,,,6,0.5,1,0.5,,0,0,,0.5,1,0,,,2,,1,2,,6,,,,,,3,1,,,,,0.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.5,,,,,,,,,,,,,,,,,,0.5,.,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,43,Basal,43,44.5,44.5,14,0.5,9,30,0,0,,,12,0,0,4,2,15,0.5,0,0.5,0,,,0.5,,,3,0.5,0.5,0.5,,0,0,,0.5,0.5,0,,,0.5,,0.5,1,,0.5,,,,,,0.5,0.5,,,,,0.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.5,,,,,,,,,,,,,,,,,,1,2,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,25,Aerial,50,52,52,18,1,18,4,5,0,,,30,0,0,4,,7,1,0.5,0.5,0.5,,0,0,,0,3,0.5,0,0.5,,0,0,,0.5,0,0.5,0,0,3,0,0,,0,,,,,,,0.5,,,,,,,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,.,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,25,Basal,32,30.5,36.5,33,1,18,10,5,0,,,22,0,0,2,,5,0.5,0.5,0.5,0.5,,0,0,,0,2,0.5,0,0.5,,0,0,,0.5,0,0.5,0,0,1,0,0,,0,,,,,,,0.5,,,,,,,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,28,Aerial,64,73.5,72.5,11,0,15,4,2,0,,,35,0,0,1,,6,2,0.5,0,7,,1,2,,0,0,0.5,0,0,,0,0,,0.5,0,0,0,0,8,7,0,,0,,,,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,.,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,28,Basal,40,42,42,18,0,15,8,2,0,,,28,0,0,0.5,,2,0.5,0.5,0,5,,0.5,0,,0,0,0.5,0,0,,0,0,,0.5,0,0,0,0,3,0.5,0,,0,,,,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,7,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,32,Aerial,65,63,63,18,0.5,9,7,2,0,,,35,0,0,8,,3,1,0,1,2,,4,0.5,,1,0.5,0,0,0.5,,0,0,,0.5,0.5,0.5,0.5,2,0.5,0.5,0,,0.5,,,,,,,0,,,,,,,,,,,,0.5,,,,,0.5,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,.,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,32,Basal,50,47.5,47.5,25,0.5,9,12,2,0,,,28,0,0,6,,1,0.5,0,0.5,1,,3,0.5,,0.5,0.5,0,0,0.5,,0,0,,0.5,0.5,0.5,0.5,1,0.5,0.5,0,,0.5,,,,,,,0,,,,,,,,,,,,0.5,,,,,0.5,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,2,Aerial,72,75,81,5,0,0.5,8,9,0,,,5,7,2,0,,7,0,0.5,0,32,,0,0,,0,3,0,0.5,0,,0,0,,18,0,0,0,0,0,0,0,,0,,,,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,0,.,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,2,Basal,50,47,47,6,0,0.5,35,9,0,,,3,1,1,0,,5,0,0.5,0,25,,0,0,,0,1,0,0.5,0,,0,0,,8,0,0,0,0,0,0,0,,0,,,,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0,0,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,45,Aerial,45,44,44,27,0,17,10,0,0,,0,0,0,0,8,0,7,2,0,0.5,0,,0,2,,4,1,0.5,0.5,0.5,,0,0,,0.5,1,,,,0.5,,0.5,0.5,,13,,,,,,0.5,0.5,,0,,,0.5,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,.,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,45,Basal,24,21.5,21.5,35,0,17,22,0,0,,0,0,0,0,5,0,5,1,0,0.5,0,,0,0.5,,2,0.5,0.5,0.5,0.5,,0,0,,0.5,0.5,,,,0.5,,0.5,0.5,,1,,,,,,0.5,0.5,,0,,,0.5,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,47,Aerial,65,61.5,61.5,7,2,8,20,0,0,,0,0,0,0,8,1,32,2,0,0,0,,0,3,,1,6,0.5,0.5,0.5,,0,0,,0.5,0,,,,0,,2,0.5,,2,,,,,,1,0,,0,,,0.5,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,.,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,47,Basal,35,39,39,15,4,8,35,0,0,,0,0,0,0,4,0.5,23,1,0,0,0,,0,1,,0.5,4,0.5,0.5,0.5,,0,0,,0.5,0,,,,0,,0.5,0.5,,0.5,,,,,,0.5,0,,0,,,0.5,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,20,Aerial,58,56.5,57.5,3,0,7,10,22,0,,0,23,0,0,7,0,6,4,0.5,0.5,0,,0,2,,0,3,0,0.5,0.5,,0,0,,3,0,,,,0.5,,0.5,0,,3,,,,,,3,0,,0,,,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,.,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,20,Basal,35,35,35.5,4,0,7,32,22,0,,0,17,0,0,5,0,4,2,0.5,0.5,0,,0,1,,0,1,0,0.5,0.5,,0,0,,1,0,,,,0.5,,0.5,0,,0.5,,,,,,0.5,0,,0,,,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,22,Aerial,63,60.5,59,6,0.5,9,12,10,0,,2,28,0.5,0,9,0,3,2,0,0.5,1,,3,0.5,,0,0,0.5,0,0,,0.5,0.5,,7,0,,,,0.5,,0,0,,1,,,,,,0.5,0,,1,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,.,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,22,Basal,48,46,44.5,10,0.5,9,30,10,0,,2,25,0.5,0,5,0,1,1,0,0.5,0.5,,2,0.5,,0,0,0.5,0,0,,0.5,0.5,,5,0,,,,0.5,,0,0,,0.5,,,,,,0.5,0,,0.5,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,